,ticker,name,description,logoid,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
161,NYSE:SDHC,SDHC,Smith Douglas Homes Corp.,smith-douglas-homes-corp,stock,['common'],,17.31,100,1,false,0,USD,-5.872756933115833,81525,10.622238586156111,1.6296,-17.82148260211801,0.0,Consumer durables,Consumer Durables,america,2.083333,1.3198325378991471
162,NASDAQ:MODV,MODV,ModivCare Inc.,modivcare,stock,['common'],,2.27,100,1,false,0,USD,-5.809128630705399,192857,,-16.0922,-2.378104641693795,0.0,Transportation,Transportation,america,2.0,0.5925463235501961
163,NASDAQ:ATRA,ATRA,"Atara Biotherapeutics, Inc.",atara-biotherapeutics,stock,['common'],,10.32,100,1,false,0,USD,-5.796439981743494,41806,,-3.7199,89.86345267712865,0.0,Health technology,Health Technology,america,1.0,1.134962413159327
164,NYSE:RNG,RNG,"RingCentral, Inc.",ringcentral,stock,['common'],,27.09,100,1,false,0,USD,-5.773913043478261,2268347,,-0.1349,90.45090960571954,0.0,Technology services,Technology Services,america,1.738095,0.9791007773941395
165,NASDAQ:LHSW,LHSW,Lianhe Sowell International Group Ltd,lianhe-sowell-international-ltd,stock,['common'],,2.44,100,1,false,0,USD,-5.773315311836269,80449,,,,0.0,Electronic technology,Electronic Technology,america,,1.133702454718276
166,NASDAQ:JFB,JFB,JFB Construction Holdings,jfb-construction,stock,['common'],,8.0,100,1,false,0,USD,-5.771495877502947,33984,2051.2820512820513,0.0039,-98.94423389279913,0.0,Industrial services,Industrial Services,america,,0.5069061185525492
167,NASDAQ:PC,PC,Premium Catering (Holdings) Limited,premium-catering-limited,stock,['common'],,7.19,100,1,false,0,USD,-5.76671035386631,22926,,-0.0746,,0.0,Consumer services,Consumer Services,america,,0.07871431229867354
168,NYSE:ZVIA,ZVIA,Zevia PBC,zevia-pbc,stock,['common'],,3.12,100,1,false,0,USD,-5.740181268882173,704387,,-0.23,54.50049455984174,0.0,Consumer non-durables,Consumer Non-Durables,america,1.333333,0.9130701981686667
169,NASDAQ:INTU,INTU,Intuit Inc.,intuit,stock,['common'],,706.09,100,1,false,0,USD,-5.728971962616818,3195060,57.45707543331435,12.289,13.566213843452546,0.555407209612817,Technology services,Technology Services,america,1.308824,2.0604821076446576
170,NASDAQ:REPL,REPL,"Replimune Group, Inc.",replimune,stock,['common'],,4.99,100,1,false,0,USD,-5.671077504725894,5960024,,-3.3787,-1.0739499820509697,0.0,Health technology,Health Technology,america,1.888889,0.1909854597907401
171,NASDAQ:SERA,SERA,"Sera Prognostics, Inc.",sera-prognostics,stock,['common'],,2.34,100,1,false,0,USD,-5.645161290322586,61371,,-0.8481,13.994523881959234,0.0,Health services,Health Services,america,1.0,0.4964817274726199
172,NYSE:THS,THS,"Treehouse Foods, Inc.",treehouse-foods,stock,['common'],,17.58,100,1,false,0,USD,-5.636070853462162,889189,44.927165857398414,0.3913,,0.0,Consumer non-durables,Consumer Non-Durables,america,1.888889,1.2241909287871948
