,exchange,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
194,NYSE,ACHR,Archer Aviation Inc.,archer-aviation,stock,['common'],141.40625,9.27,100,1,false,0,USD,-1.067235859124863,23939241,5979394153.0,USD,,-1.2779,-4.004232115243765,0.0,0.8349545270707902,Electronic technology,Electronic Technology,america,1.277778
195,NASDAQ,MTEN,Mingteng International Corporation Inc.,mingteng-international,stock,['common'],141.02079395085067,12.75,100,1,false,0,USD,3.2388663967611366,48908,87204900.0,USD,,-0.117,,0.0,0.6127378512330428,Producer manufacturing,Producer Manufacturing,america,
196,NASDAQ,VVPR,VivoPower International PLC,vivopower,stock,['common'],140.92664092664094,6.24,100,1,false,0,USD,8.90052356020942,710189,63100202.0,USD,,-6.5047,-103.78132832080198,0.0,0.45495238588810905,Utilities,Utilities,america,
197,NYSE,RBRK,"Rubrik, Inc.",rubrik,stock,['common'],140.25387870239774,85.17,100,1,false,0,USD,-3.0285779346464725,4111575,16481610669.000002,USD,,-2.8406,49.735459097906684,0.0,1.9790485087396634,Technology services,Technology Services,america,1.195652
198,NASDAQ,AFRM,"Affirm Holdings, Inc.",affirm,stock,['common'],140.14171287738756,77.95,100,1,false,0,USD,0.7236077012533948,19333150,25146666565.000004,USD,,-0.2171,90.23743142368919,0.0,3.7613197423629785,Finance,Finance,america,1.365385
199,NYSE,TPR,"Tapestry, Inc.",tapestry,stock,['common'],139.8761314911863,100.7,100,1,false,0,USD,2.264649131715247,15804009,20958048574.000004,USD,159.03348073278585,0.6332,-81.92767645631761,1.42175281811719,3.0377823678515927,Retail trade,Retail Trade,america,1.431818
200,NASDAQ,ELTX,"Elicio Therapeutics, Inc.",elicio-therapeutics,stock,['common'],139.81900452488688,10.6,100,1,false,0,USD,-3.898458748866725,94432,173185812.00000003,USD,,-4.1798,-4.599599599599604,0.0,0.3997417798143778,Health technology,Health Technology,america,1.0
201,NASDAQ,UAL,"United Airlines Holdings, Inc.",united-airlines,stock,['common'],139.65477560414266,104.13,100,1,false,0,USD,1.749071721711933,3905746,33710221245.0,USD,10.432717836711385,9.9811,13.213175744651885,0.0,0.7441806565914134,Transportation,Transportation,america,1.229167
202,NASDAQ,INVZ,Innoviz Technologies Ltd.,innoviz-technologies,stock,['common'],139.60535588442565,1.7,100,1,false,0,USD,4.938271604938262,6886501,338235341.0,USD,,-0.4188,37.6971139541803,0.0,0.8093745076202954,Producer manufacturing,Producer Manufacturing,america,1.333333
203,NYSE,NET,"Cloudflare, Inc.",cloudflare-inc,stock,['common'],139.21686746987953,198.55,100,1,false,0,USD,1.3630794363896346,2750260,69191023018.00002,USD,,-0.3385,-11.937830687830694,0.0,1.275131095425545,Technology services,Technology Services,america,1.569444
204,NASDAQ,IRTC,"iRhythm Technologies, Inc.",irhythm-technologies,stock,['common'],139.1743772241993,168.02,100,1,false,0,USD,1.412361178174797,444678,5398106682.0,USD,,-2.9361,31.135660005629045,0.0,0.9469478533225097,Health technology,Health Technology,america,1.107143
205,AMEX,IDR,"Idaho Strategic Resources, Inc.",idaho-strategic-resources,stock,['common'],139.00900900900902,26.53,100,1,false,0,USD,3.3099688473520303,378914,384828062.0,USD,41.00463678516229,0.647,61.99298948422636,0.0,0.6494627946470749,Non-energy minerals,Non-Energy Minerals,america,1.0
206,NASDAQ,QNCX,"Quince Therapeutics, Inc.",cortexyme,stock,['common'],138.8059701492537,1.6,100,1,false,0,USD,1.2658227848101276,81534,85942079.0,USD,,-1.0969,13.493690851735018,0.0,0.41237874671941566,Health technology,Health Technology,america,1.0
207,NASDAQ,CRMD,CorMedix Inc.,cormedix,stock,['common'],138.73720136518767,13.99,100,1,false,0,USD,1.8936635105608142,2552447,1044339414.9999999,USD,18.735770724521227,0.7467,,0.0,0.8403260447156897,Health technology,Health Technology,america,1.166667
208,NASDAQ,IDN,"Intellicheck, Inc.",intellicheck,stock,['common'],138.66666666666666,5.37,100,1,false,0,USD,2.285714285714288,79069,107600145.99999999,USD,,-0.047,-99.15254237288136,0.0,0.341938039541978,Technology services,Technology Services,america,1.25
209,NASDAQ,DXPE,"DXP Enterprises, Inc.",dxp-enterprises,stock,['common'],138.40304182509507,125.4,100,1,false,0,USD,1.4316913370541215,134194,1968038179.0,USD,23.951409580563833,5.2356,48.0363050301128,0.0,0.8430129196563972,Distribution services,Distribution Services,america,1.0
210,NASDAQ,SOUN,"SoundHound AI, Inc.",soundhound-ai,stock,['common'],137.54940711462453,12.02,100,1,false,0,USD,-0.7431874483897594,69502537,4900389355.0,USD,,-0.6251,-61.0252447192169,0.0,1.4332678593731054,Technology services,Technology Services,america,1.277778
211,NASDAQ,XMTR,"Xometry, Inc.",xometry,stock,['common'],137.47534516765282,48.16,100,1,false,0,USD,0.6268282490597517,513363,2447218897.0,USD,,-1.2272,-12.339802270230688,0.0,0.6701436409045268,Technology services,Technology Services,america,1.3
212,NASDAQ,MSTR,Strategy Inc,microstrategy,stock,['common'],137.21307048339185,351.36,100,1,false,0,USD,2.3776223776223846,9144162,99629068727.0,USD,30.931211155518778,11.3594,,0.0,0.7218952028047879,Technology services,Technology Services,america,1.25
213,NASDAQ,SGMT,Sagimet Biosciences Inc. - Series A,sagimet-biosciences-series-a,stock,['common'],135.66666666666666,7.07,100,1,false,0,USD,-0.14124293785310432,251458,219177854.0,USD,,-1.8452,-62.44387710185757,0.0,0.33368157904060675,Health technology,Health Technology,america,1.0
214,NASDAQ,CEP,"Cantor Equity Partners, Inc.",cantor-equity-partners,stock,['common'],135.01246882793015,23.56,100,1,false,0,USD,0.7698887938408885,144148,301568000.0,USD,108.87245841035119,0.2164,,0.0,0.4743845256681296,Finance,Finance,america,
215,NYSE,CVNA,Carvana Co.,carvana,stock,['common'],134.93025310862842,372.2,100,1,false,0,USD,2.783607643874954,2320913,80098723774.0,USD,93.19445139966949,3.9938,26.035092148447355,0.0,0.8064828641507396,Retail trade,Retail Trade,america,1.479167
216,NASDAQ,CRWV,"CoreWeave, Inc.",coreweave,stock,['common'],134.33333333333334,91.39,100,1,false,0,USD,-1.0716605325828046,16042021,44650629228.0,USD,,-3.1866,,0.0,0.4651949453239627,Technology services,Technology Services,america,1.788462
217,NYSE,OPFI,OppFi Inc.,oppfi,stock,['common'],133.26086956521743,10.73,100,1,false,0,USD,7.62286860581745,1372728,936794757.0000001,USD,,-1.3295,-1787.1827411167512,0.0,1.258116828066862,Finance,Finance,america,1.333333
218,NASDAQ,GH,"Guardant Health, Inc.",guardant-health,stock,['common'],131.6654492330168,63.43,100,1,false,0,USD,2.5048480930833823,1525841,7910092505.0,USD,,-3.3458,18.24557116676848,0.0,0.6139491963247569,Health services,Health Services,america,1.288462
219,NASDAQ,PULM,"Pulmatrix, Inc.",pulmatrix,stock,['common'],131.4814814814815,4.875,100,1,false,0,USD,-1.9114688128772588,3053,17804888.999999996,USD,,-2.1712,26.86607383454595,0.0,0.2262067943540918,Health technology,Health Technology,america,
220,NASDAQ,TATT,TAT Technologies Ltd.,tat-technologies,stock,['common'],131.3125,37.01,100,1,false,0,USD,1.899779735682813,136943,476958546.0,USD,30.175295556461474,1.2265,69.195751138088,0.0,0.43988734196813634,Electronic technology,Electronic Technology,america,1.0
