,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
328,NASDAQ,PPSI,"Pioneer Power Solutions, Inc.",pioneer-power-solutions,stock,['common'],35028838.68749999,USD,3.15,100,1,false,0,USD,-1.5625000000000084,22097,,,,0.0,0.592071594121351,Producer manufacturing,Producer Manufacturing,america,1.0
329,NASDAQ,ALTI,"AlTi Global, Inc.",alvarium-tiedemann,stock,['common'],640828857.6881958,USD,4.42,100,1,false,0,USD,-1.5590200445434361,174644,,-1.7773,10.386729188725859,0.0,0.8847428914178257,Finance,Finance,america,1.0
330,NASDAQ,TAYD,"Taylor Devices, Inc.",taylor-devices,stock,['common'],136949541.72356257,USD,43.66,100,1,false,0,USD,-1.5558060879368767,14695,18.97353439659293,2.3011,-12.522334157004378,0.0,2.879847923648265,Producer manufacturing,Producer Manufacturing,america,
331,NASDAQ,RUN,Sunrun Inc.,sunrun,stock,['common'],2634966087.2275867,USD,11.42,100,1,false,0,USD,-1.551724137931032,11624549,,-11.6154,-82.13092904743236,0.0,0.7820265288624831,Electronic technology,Electronic Technology,america,1.596154
332,NASDAQ,CXDO,"Crexendo, Inc.",crexendo,stock,['common'],173173105.2521441,USD,5.74,100,1,false,0,USD,-1.5437392795883338,200653,57.2283150548355,0.1003,2.1384928716904326,0.0,0.7008541455784851,Technology services,Technology Services,america,1.0
333,NYSE,AMWL,American Well Corporation,american-well,stock,['common'],114033763.9665272,USD,7.06,100,1,false,0,USD,-1.5341701534170198,54128,,-6.8967,67.49047816577419,0.0,0.6067766894080885,Technology services,Technology Services,america,1.888889
334,NASDAQ,STIM,"Neuronetics, Inc.",neuronetics,stock,['common'],255241797.91326535,USD,3.86,100,1,false,0,USD,-1.5306122448979604,1557701,,-1.1314,-2.4262176353431046,0.0,1.0116380843534298,Health technology,Health Technology,america,1.0
335,NASDAQ,ALMU,"Aeluma, Inc.",aeluma,stock,['common'],315119558.3588351,USD,19.95,100,1,false,0,USD,-1.5301085883514425,144792,,-0.2675,,0.0,0.4310460828011446,Commercial services,Commercial Services,america,1.0
336,NASDAQ,CART,Maplebear Inc.,maplebear,stock,['common'],13430084319.326635,USD,50.98,100,1,false,0,USD,-1.5259802974695889,3979586,29.429082722392195,1.7323,,0.0,0.7533912189820421,Transportation,Transportation,america,1.529412
337,NASDAQ,ROP,"Roper Technologies, Inc.",roper-technologies,stock,['common'],55905378945.760025,USD,519.5,100,1,false,0,USD,-1.5128535679077915,844943,36.507891888852974,14.2298,6.553547092387639,0.611397588534162,1.5387768794195014,Technology services,Technology Services,america,1.525
338,NASDAQ,PCRX,"Pacira BioSciences, Inc.",pacira-pharmaceuticals,stock,['common'],1114780906.511314,USD,24.81,100,1,false,0,USD,-1.5085351329892915,642255,,-2.7858,-316.5410027205597,0.0,0.6568713061823868,Health technology,Health Technology,america,1.666667
339,NYSE,PACS,"PACS Group, Inc.",pacs,stock,['common'],1736436404.2764087,USD,11.19,100,1,false,0,USD,-1.496478873239436,368008,,,,0.0,0.7993587891715304,Health services,Health Services,america,1.0
340,NASDAQ,CHYM,"Chime Financial, Inc.",chime-financial-inc,stock,['common'],10845184904.897717,USD,29.76,100,1,false,0,USD,-1.4895729890764624,2365389,,-2.6046,-829.8821849339522,0.0,0.9170801248884854,Technology services,Technology Services,america,1.428571
341,NASDAQ,OKUR,"OnKure Therapeutics, Inc.",onkure-therapeutics,stock,['common'],27020797.044334978,USD,2.0,100,1,false,0,USD,-1.4778325123152616,56289,,-5.8356,73.12121156290878,0.0,0.8538999604064934,Health technology,Health Technology,america,1.0
342,NYSE,RSG,"Republic Services, Inc.",republic-services,stock,['common'],72911760142.52727,USD,233.53,100,1,false,0,USD,-1.4766063367506224,998619,34.51930467687578,6.7652,13.331323081046667,0.97877905750327,0.598353737650426,Industrial services,Industrial Services,america,1.456522
343,NASDAQ,DEVS,DevvStream Corp.,devvstream,stock,['common'],9456267.077490775,USD,2.67,100,1,false,0,USD,-1.4760147601476028,59676,,,,0.0,0.19455812994674296,Commercial services,Commercial Services,america,
344,NASDAQ,MSTR,MicroStrategy Incorporated,microstrategy,stock,['common'],111830345097.23384,USD,394.39,100,1,false,0,USD,-1.4640849469081858,8365021,34.71926334137366,11.3594,,0.0,0.7394995744241465,Technology services,Technology Services,america,1.28125
345,NASDAQ,MRX,Marex Group plc,canadian-imperial-bank-of-commerce,stock,['common'],2456069295.860531,USD,34.48,100,1,false,0,USD,-1.4575593026579168,1475573,12.680200058840835,2.7192,,0.800228636753358,0.9964531938003216,Technology services,Technology Services,america,1.0625
346,NASDAQ,LMB,"Limbach Holdings, Inc.",limbach,stock,['common'],1266276365.677434,USD,108.91,100,1,false,0,USD,-1.4567499095186387,435666,37.21891873419452,2.9262,33.70801919122688,0.0,1.5353418737002584,Miscellaneous,Miscellaneous,america,1.0
347,NYSE,TISI,"Team, Inc.",team,stock,['common'],73511879.1253012,USD,16.36,100,1,false,0,USD,-1.4457831325301322,10500,,-11.3653,26.857161244650392,0.0,3.066767918686839,Commercial services,Commercial Services,america,
348,NASDAQ,TWFG,"TWFG, Inc.",twfg,stock,['common'],1500581543.0497239,USD,26.76,100,1,false,0,USD,-1.4364640883977793,97977,36.054971705739696,0.7422,-58.54557640750671,0.0,0.6836512476424196,Finance,Finance,america,1.5
349,NASDAQ,CPHC,Canterbury Park Holding Corporation,canterbury-park,stock,['common'],87733976.1,USD,17.25,100,1,false,0,USD,-1.4285714285714286,1463,563.7254901960785,0.0306,-96.0352422907489,1.6,1.3110493771843355,Consumer services,Consumer Services,america,
350,NASDAQ,PRME,"Prime Medicine, Inc.",prime-medicine,stock,['common'],616558208.3019943,USD,3.46,100,1,false,0,USD,-1.4245014245014196,4899178,,-1.5985,24.896635970682205,0.0,1.006692256830803,Health technology,Health Technology,america,1.333333
351,NASDAQ,GLBZ,Glen Burnie Bancorp,glen-burnie-bancorp,stock,['common'],11718751.49829185,USD,4.04,100,1,false,0,USD,-1.4153245485602692,12145,377.5700934579439,0.0107,-94.058856191005,2.44021473889702,2.054817697318332,Finance,Finance,america,
352,NASDAQ,SCNX,"Scienture Holdings, Inc.",scienture,stock,['common'],27413334.165094335,USD,2.09,100,1,false,0,USD,-1.4150943396226532,240935,,-3.7887,86.73261779279674,0.0,1.7434498069386315,Commercial services,Commercial Services,america,
353,NASDAQ,SSBI,Summit State Bank,summit-state-bank,stock,['common'],79250765.81976745,USD,11.87,100,1,false,0,USD,-1.411960132890365,3925,,-0.2397,-126.5860692102928,3.32225913621263,0.25519492340901406,Finance,Finance,america,
354,NASDAQ,BYFC,Broadway Financial Corporation,broadway-financial,stock,['common'],71360253.02160102,USD,7.76,100,1,false,0,USD,-1.397712833545112,3786,,-0.2835,-175.01984652024345,0.0,0.37368971711708154,Finance,Finance,america,
355,NASDAQ,CSIQ,Canadian Solar Inc.,canadian-solar,stock,['common'],764823023.9948186,USD,11.42,100,1,false,0,USD,-1.381692573402419,514704,,-0.1977,-106.97256119066094,0.0,0.824812315392189,Electronic technology,Electronic Technology,america,1.8
356,NASDAQ,DYNX,Dynamix Corporation,dynamix,stock,['common'],255197324.78528658,USD,11.53,100,1,false,0,USD,-1.3686911890504718,1271323,,,,0.0,1.0994564132615239,Finance,Finance,america,
357,NASDAQ,CCEP,Coca-Cola Europacific Partners plc,coca-cola,stock,['common'],42954003492.372025,USD,93.22,100,1,false,0,USD,-1.3649349275209037,1619844,25.70451662714388,3.6266,-4.371901698133119,2.37011956406729,0.7899611818606275,Consumer non-durables,Consumer Non-Durables,america,1.526316
358,NYSE,LAR,Lithium Argentina AG,lithium-americas,stock,['common'],586330266.6891088,USD,3.62,100,1,false,0,USD,-1.362397820163483,3240070,,-0.11796069999999999,-101.51043412354161,0.0,1.5294729200868609,Non-energy minerals,Non-Energy Minerals,america,1.272727
359,NASDAQ,ENGN,enGene Holdings Inc.,engene,stock,['common'],186022923.0677507,USD,3.64,100,1,false,0,USD,-1.3550135501354965,64507,,-1.6484,-1000.400534045394,0.0,0.42518986457359736,Health technology,Health Technology,america,1.136364
360,NASDAQ,ADP,"Automatic Data Processing, Inc.",automatic-data-processing,stock,['common'],121363080078.25258,USD,299.63,100,1,false,0,USD,-1.3466350586066216,1280112,30.015226494099736,9.9826,9.671182008942795,1.98208876596866,0.7139251578542827,Technology services,Technology Services,america,1.911765
361,NYSE,EVEX,"Eve Holding, Inc.",eve,stock,['common'],1781025532.4,USD,5.92,100,1,false,0,USD,-1.3333333333333344,258301,,-0.6305,-30.781995436631398,0.0,0.6143770329010353,Electronic technology,Electronic Technology,america,1.25
362,NASDAQ,PTON,"Peloton Interactive, Inc.",peloton-interactive-inc,stock,['common'],3243228751.4400005,USD,8.14,100,1,false,0,USD,-1.3333333333333264,12061135,,-0.3089,79.65755679947316,0.0,0.5163952124889638,Consumer services,Consumer Services,america,1.547619
363,NYSE,CRK,"Comstock Resources, Inc.",comstock-resources,stock,['common'],4557188852.480965,USD,15.55,100,1,false,0,USD,-1.332487309644664,2433366,,-0.2558,-395.7364341085272,0.0,0.7724010953939473,Energy minerals,Energy Minerals,america,2.0
364,NASDAQ,PBHC,"Pathfinder Bancorp, Inc.",pathfinder-bancorp,stock,['common'],87822953.71468432,USD,14.3,100,1,false,0,USD,-1.3112491373360904,1598,,-0.0021,93.0,2.79037321241716,0.4591822074078331,Finance,Finance,america,
365,NYSE,NGS,"Natural Gas Services Group, Inc.",natural-gas-services,stock,['common'],313498832.3147929,USD,25.02,100,1,false,0,USD,-1.3017751479290014,124113,17.572692793931733,1.4238,34.06779661016948,0.0,2.349170116234832,Producer manufacturing,Producer Manufacturing,america,1.0
366,NASDAQ,SIBN,"SI-BONE, Inc.",si-bone,stock,['common'],655742238.6493505,USD,15.2,100,1,false,0,USD,-1.2987012987013056,545410,,-0.563,43.82919285643022,0.0,0.8632268010072377,Health technology,Health Technology,america,1.0
367,NYSE,CION,CION Investment Corporation,cion-investment,stock,['common'],554203534.2337663,USD,10.64,100,1,false,0,USD,-1.2987012987012876,417806,,-0.1902,-108.10638025827899,13.3580705009276,1.4898305725388732,Miscellaneous,Miscellaneous,america,2.0
368,NASDAQ,SWVL,Swvl Holdings Corp,swvl,stock,['common'],40841535.83937824,USD,3.81,100,1,false,0,USD,-1.2953367875647623,18465,,-1.2506,-371.5743756786102,0.0,2.8034616260531124,Transportation,Transportation,america,
369,NASDAQ,MRUS,Merus N.V.,merus-nv,stock,['common'],4823203103.636842,USD,63.77,100,1,false,0,USD,-1.2848297213622155,608403,,-5.5362,-92.91912046555389,0.0,1.0265579213553198,Health technology,Health Technology,america,1.0
370,NASDAQ,EDBL,Edible Garden AG Incorporated,edible-garden-ag-incorporated,stock,['common'],6590780.169491526,USD,2.33,100,1,false,0,USD,-1.2711864406779578,18939,,-59.4832,94.95620837166709,0.0,0.5097720439600669,Process industries,Process Industries,america,
371,NASDAQ,AIRJ,AirJoule Technologies Corporation,montana-technologies,stock,['common'],280698485.411017,USD,4.66,100,1,false,0,USD,-1.2711864406779578,91002,5.452843435525392,0.8546,-79.57798647453819,0.0,1.162237065607479,Producer manufacturing,Producer Manufacturing,america,1.0
372,NYSE,VATE,INNOVATE Corp.,innovate,stock,['common'],62413175.08860759,USD,4.68,100,1,false,0,USD,-1.2658227848101369,39064,,-6.0364,-77.01014603249077,0.0,0.9139701925551565,Industrial services,Industrial Services,america,
373,NYSE,FCN,"FTI Consulting, Inc.",fti-consulting,stock,['common'],5353335493.538315,USD,165.44,100,1,false,0,USD,-1.2652184292193869,520982,23.25489865339743,7.1142,-22.627165649776494,0.0,1.6287126004498653,Commercial services,Commercial Services,america,1.75
374,NASDAQ,TCPC,BlackRock TCP Capital Corp.,blackrock,stock,['common'],599507091.97479,USD,7.05,100,1,false,0,USD,-1.2605042016806705,908307,,-0.1405,73.2940505607299,16.5266106442577,1.4329052003977334,Finance,Finance,america,2.25
375,NYSE,ENR,"Energizer Holdings, Inc.",energizer-holdings,stock,['common'],1880798025.1989253,USD,27.55,100,1,false,0,USD,-1.2544802867383438,1339174,7.93536494037675,3.4718,2494.768310911809,4.3010752688172,0.9073968986507019,Consumer non-durables,Consumer Non-Durables,america,1.714286
376,NASDAQ,CLAR,Clarus Corporation,black-diamond,stock,['common'],121733786.97819315,USD,3.17,100,1,false,0,USD,-1.2461059190031165,259250,,-2.151,-1318.0067950169876,3.11526479750779,0.6583296025873051,Consumer durables,Consumer Durables,america,1.666667
377,NASDAQ,TOYO,"TOYO Co., Ltd",toyo-co-ltd,stock,['common'],165909208.34207997,USD,4.9384,100,1,false,0,USD,-1.2320000000000064,8947,4.473998912846531,1.1038,393.20822162645214,0.0,0.12887047127673518,Electronic technology,Electronic Technology,america,
378,NYSE,KMI,"Kinder Morgan, Inc.",kinder-morgan,stock,['common'],59018374207.09557,USD,26.56,100,1,false,0,USD,-1.227222015619196,15166197,21.791926485067275,1.2188,11.316101927116643,4.31387132763109,0.8278864135161623,Industrial services,Industrial Services,america,1.52381
379,NASDAQ,TH,Target Hospitality Corp.,target-hospitality,stock,['common'],805214869.5752754,USD,8.07,100,1,false,0,USD,-1.2239902080783311,490750,75.56179775280899,0.1068,-90.35230352303523,0.0,1.2463954219000881,Consumer services,Consumer Services,america,1.666667
380,NASDAQ,CV,"CapsoVision, Inc.",,stock,['common'],187141964.79999998,USD,4.06,100,1,false,0,USD,-1.2165450121654673,21210,,,,0.0,0.3360819906955519,Health technology,Health Technology,america,
381,NASDAQ,TSSI,"TSS, Inc.",tss,stock,['common'],465381286.66135466,USD,18.6,100,1,false,0,USD,-1.1952191235059648,5587747,52.29125667697498,0.3557,332.19927095990283,0.0,1.5361175230396447,Technology services,Technology Services,america,
382,NASDAQ,NDRA,ENDRA Life Sciences Inc.,endra-life-sciences,stock,['common'],3146516.245862884,USD,4.18,100,1,false,0,USD,-1.1820330969267305,74928,,-486.3853,77.35528348070613,0.0,0.7982613142418818,Health technology,Health Technology,america,1.0
383,NYSE,LOCL,Local Bounti Corporation,local-bounti,stock,['common'],54493007.105704494,USD,2.5101,100,1,false,0,USD,-1.181055863942357,7966,,-15.544,-1.1992343650307986,0.0,0.5350797649034424,Finance,Finance,america,1.0
384,NASDAQ,CCLD,"CareCloud, Inc.",carecloud-11-series-a-cumulative-redeemable-perpetual-preferred-stock,stock,['common'],107074759.81640624,USD,2.53,100,1,false,0,USD,-1.1718750000000098,223944,,-0.0405,98.8676713171359,0.0,0.5883621759816217,Technology services,Technology Services,america,1.5
385,AMEX,TOPS,"TOP Ships, Inc.",top-ships,stock,['common'],27340823.222408023,USD,5.91,100,1,false,0,USD,-1.1705685618729142,6092,5.430986950928138,1.0882,,0.0,0.38683540445636205,Transportation,Transportation,america,
386,NASDAQ,ALNY,"Alnylam Pharmaceuticals, Inc.",alnylam-pharmaceuticals,stock,['common'],56354798773.25338,USD,429.93,100,1,false,0,USD,-1.165517241379309,1508236,,-2.467,-310.0049858733588,0.0,0.970350459805308,Health technology,Health Technology,america,1.333333
387,NASDAQ,BRID,Bridgford Foods Corporation,bridgford-foods,stock,['common'],69437761.1627907,USD,7.65,100,1,false,0,USD,-1.1627906976744167,568,,-0.8146,-615.89613679544,0.0,0.4513668150031786,Consumer non-durables,Consumer Non-Durables,america,
388,NYSE,AON,Aon plc,aon,stock,['common'],78447107805.18428,USD,363.81,100,1,false,0,USD,-1.1627591078268829,2994305,30.460665126092636,11.9436,-4.47412620970967,0.752533347822543,2.10073256462585,Finance,Finance,america,1.590909
389,NYSE,AC,"Associated Capital Group, Inc.",associated-capital,stock,['common'],771712386.0589349,USD,36.56,100,1,false,0,USD,-1.162476344958096,8496,14.417540815521729,2.5358,64.75862517055423,0.540686672073533,1.4128681422846023,Finance,Finance,america,
390,NYSE,ALUR,"Allurion Technologies, Inc.",allurion-technologies,stock,['common'],19241014.275862068,USD,2.58,100,1,false,0,USD,-1.1494252873563144,59876,,-12.3838,86.93468715117984,0.0,1.136102309166461,Health technology,Health Technology,america,1.25
