,exchange,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
523,NASDAQ,RPID,"Rapid Micro Biosystems, Inc.",rapid-micro-biosystems,stock,['common'],11.048689138576776,2.82,100,1,false,0,USD,-3.0927835051546495,108681,123605401.75257732,USD,,-1.0017,14.113006945039858,0.0,0.8277669539096166,1.0,Producer manufacturing,Producer Manufacturing,america
524,NASDAQ,CABA,"Cabaletta Bio, Inc.",cabaletta-bio,stock,['common'],11.038961038961034,1.65,100,1,false,0,USD,-3.5087719298245648,1317357,150917637.89473686,USD,,-2.7068,-41.68760469011724,0.0,0.8374580899699899,1.181818,Health technology,Health Technology,america
525,NASDAQ,ECOR,"electroCore, Inc.",electrocore,stock,['common'],11.035224967920856,5.24,100,1,false,0,USD,1.9455252918288042,146067,39737248.43579767,USD,,-1.7004,22.50831700314452,0.0,0.8609877365525006,1.0,Health technology,Health Technology,america
526,NASDAQ,IMRX,Immuneering Corporation,immuneering,stock,['common'],11.0344827586207,3.04,100,1,false,0,USD,-5.590062111801246,596463,109396536.4968944,USD,,-1.8951,0.6604812077370628,0.0,2.240155006559385,1.166667,Health technology,Health Technology,america
527,NASDAQ,ADVM,"Adverum Biotechnologies, Inc.",adverum-biotechnologies,stock,['common'],11.032269798068508,2.77,100,1,false,0,USD,4.135338345864657,85581,58126123.616541356,USD,,-7.8453,1.8011815951534615,0.0,0.8124850473358628,1.166667,Health technology,Health Technology,america
528,NASDAQ,CDLX,"Cardlytics, Inc. Common Stock",cardlytics,stock,['common'],11.016949152542383,1.21,100,1,false,0,USD,-7.633587786259549,1116367,64416650.84732824,USD,,-3.6397,5.09009361391432,0.0,0.6404736340408833,2.1,Technology services,Technology Services,america
529,NASDAQ,ACTU,"Actuate Therapeutics, Inc.",actuate-therapeutics,stock,['common'],11.013150583441375,8.22,100,1,false,0,USD,-3.6342321219226115,26500,168267543.72801876,USD,,-1.2962,,0.0,0.33607392104418804,1.0,Health technology,Health Technology,america
530,NASDAQ,ARQQ,Arqit Quantum Inc.,arqit-quantum,stock,['common'],11.011235955056181,32.46,100,1,false,0,USD,-6.130711393869282,539494,465951949.3256218,USD,,-1.872,87.16771088962312,0.0,1.2582607075212202,1.0,Technology services,Technology Services,america
531,AMEX,EONR,EON Resources Inc.,hnr-acquisition,stock,['common'],11.008547008547012,0.3197,10000,1,false,0,USD,6.9230769230769225,1053115,11581151.746153846,USD,,-0.8927,-1547.0479704797049,0.0,1.290782527139937,1.0,Energy minerals,Energy Minerals,america
532,NASDAQ,PRPH,"ProPhase Labs, Inc.",prophase-labs,stock,['common'],11.000000000000007,0.3325,10000,1,false,0,USD,1.5577275503970656,3424978,13812450.137446549,USD,,,,0.0,0.11753995697838349,,Health technology,Health Technology,america
533,NASDAQ,ABP,"Abpro Holdings, Inc",abpro,stock,['common'],10.998786898503853,0.2516,10000,1,false,0,USD,-8.342440801457206,2543433,15294078.401457194,USD,,-0.4351,-148.77072612921668,0.0,0.24066946916700652,,Finance,Finance,america
534,NASDAQ,WYFI,"WhiteFiber, Inc.",,stock,['common'],10.99815157116451,17.84,100,1,false,0,USD,3.0023094688221685,1197638,649710499.9999999,USD,,,,0.0,,,Technology services,Technology Services,america
535,NASDAQ,MHUA,"Meihua International Medical Technologies Co., Ltd.",meihua-international-medical-technologies,stock,['common'],10.993657505285404,0.389,10000,1,false,0,USD,-0.23082841754296277,145083,12410837.978968967,USD,1.0760719225449518,0.3615,-25.556013179571664,0.0,1.0974209476897754,,Health technology,Health Technology,america
536,NASDAQ,PLRX,"Pliant Therapeutics, Inc.",pliant-therapeutics,stock,['common'],10.99310344827586,1.575,100,1,false,0,USD,-1.5625000000000084,2729752,96686342.15625,USD,,-3.3911,-9.86878341163129,0.0,2.4609673598299917,1.9,Health technology,Health Technology,america
537,NASDAQ,HAIN,"The Hain Celestial Group, Inc.",hain-celestial,stock,['common'],10.982658959537568,1.86,100,1,false,0,USD,0.0,1614768,167871486.0,USD,,-2.8964,-186.17725521193555,0.0,1.3091981424065773,1.727273,Consumer non-durables,Consumer Non-Durables,america
538,NASDAQ,CDT,CDT Equity Inc.,conduit-pharmaceuticals,stock,['common'],10.97560975609757,1.67,100,1,false,0,USD,-8.241758241758248,157451,5113581.291208792,USD,,-266.4498,-45.93591850147878,0.0,2.0318067027903113,,Health technology,Health Technology,america
539,NASDAQ,WBTN,WEBTOON Entertainment Inc.,webtoon-entertainment,stock,['common'],10.963916225082006,16.44,100,1,false,0,USD,-3.066037735849054,2287122,2140303456.153302,USD,,-0.776,44.41658906955089,0.0,1.2561623918780334,1.333333,Technology services,Technology Services,america
540,NASDAQ,STTK,"Shattuck Labs, Inc.",shattuck-labs,stock,['common'],10.955947695823289,0.8604,10000,1,false,0,USD,6.130504502281988,515492,41215924.69964229,USD,,-1.3886,27.9846488953428,0.0,0.051535554415901755,1.4,Health technology,Health Technology,america
541,NASDAQ,ARAY,Accuray Incorporated,accuray,stock,['common'],10.948905109489043,1.46,100,1,false,0,USD,-2.0134228187919483,1829531,164460025.40939593,USD,,-0.0176,88.97243107769424,0.0,2.546273332208789,1.0,Health technology,Health Technology,america
542,NASDAQ,NVNI,Nvni Group Limited,nvni-limited,stock,['common'],10.930232558139522,0.6131,10000,1,false,0,USD,-1.12885018545396,3027262,21184487.50669247,USD,,-0.4743,-1532.9305135951663,0.0,0.28302785207407993,,Technology services,Technology Services,america
543,NASDAQ,VVPR,VivoPower International PLC,vivopower,stock,['common'],10.892961023851072,5.71,100,1,false,0,USD,-2.8911564625850326,1652964,57740732.88945579,USD,,-6.5047,-103.78132832080198,0.0,0.5920857791581553,,Utilities,Utilities,america
544,NASDAQ,ARTW,"Art's-Way Manufacturing Co., Inc.",arts-way,stock,['common'],10.885167464114835,4.605,100,1,false,0,USD,10.299401197604805,96274,23522729.356886234,USD,15.148026315789476,0.304,,0.0,1.2181709594643155,,Producer manufacturing,Producer Manufacturing,america
545,NASDAQ,MSS,Maison Solutions Inc.,maison-solutions,stock,['common'],10.866083528397198,0.852,10000,1,false,0,USD,-1.6733987305251088,21439,11723520.0,USD,,-0.0576,-593.9759036144577,0.0,0.6790058940714067,,Retail trade,Retail Trade,america
546,NASDAQ,RNXT,"RenovoRx, Inc.",renovorx,stock,['common'],10.849848841115215,1.24,100,1,false,0,USD,1.6393442622950833,393288,45349567.63934427,USD,,-0.3952,45.48965517241379,0.0,2.540293592748736,1.0,Health technology,Health Technology,america
547,AMEX,UMAC,"Unusual Machines, Inc.",unusual-machines,stock,['common'],10.840824960338448,9.86,100,1,false,0,USD,-5.916030534351155,2871532,298637542.4122137,USD,,-3.7622,-542.67167748548,0.0,1.1494920234589032,1.0,Electronic technology,Electronic Technology,america
548,NASDAQ,SLDB,Solid Biosciences Inc.,solid-biosciences,stock,['common'],10.837438423645322,6.17,100,1,false,0,USD,-7.634730538922153,1333404,480452161.3458084,USD,,-2.7986,15.008503401360548,0.0,1.1297468989879333,1.038462,Health technology,Health Technology,america
549,NASDAQ,NEUP,Neuphoria Therapeutics Inc.,neuphoria-therapeutics,stock,['common'],10.832914572864325,8.1,100,1,false,0,USD,1.886792452830182,55514,18319154.603773586,USD,,,,0.0,2.7002023425036015,,Health technology,Health Technology,america
550,NASDAQ,ZURA,Zura Bio Limited,zura-bio-limited,stock,['common'],10.828025477707001,1.72,100,1,false,0,USD,8.17610062893081,378508,106424995.67295597,USD,,-0.7579,53.92425071432913,0.0,1.16720965695246,1.142857,Health technology,Health Technology,america
551,NASDAQ,SGRP,"SPAR Group, Inc.",spar-group,stock,['common'],10.826996197718621,1.14,100,1,false,0,USD,0.4405286343612241,13253,26778316.75770925,USD,,-0.4009,-198.7925086249384,0.0,0.2534785643928889,,Commercial services,Commercial Services,america
552,NASDAQ,SGMT,Sagimet Biosciences Inc. - Series A,sagimet-biosciences-series-a,stock,['common'],10.815500289184508,8.67,100,1,false,0,USD,-9.498956158663885,793575,265951001.08559498,USD,,-1.8452,-62.44387710185757,0.0,1.335739288332852,1.0,Health technology,Health Technology,america
553,NYSE,PAGS,PagSeguro Digital Ltd.,pagseguro-digital,stock,['common'],10.7981220657277,8.75,100,1,false,0,USD,-7.309322033898301,7761227,2884073667.770128,USD,7.182728615990807,1.2182,9.767525680302763,0.00148305084745763,1.7381643617570322,1.5,Commercial services,Commercial Services,america
554,NASDAQ,MDCX,Medicus Pharma Ltd.,medicus-pharma-ltd,stock,['common'],10.783505154639178,1.98,100,1,false,0,USD,-5.714285714285719,303348,35276203.28571429,USD,,-1.3527,4.00936701674709,0.0,1.0098969555409367,1.0,Health technology,Health Technology,america
