,ticker,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
147,NASDAQ:SLSN,SLSN,"Solesence, Inc.",nanophase-technologies,stock,['common'],247464570.31927714,USD,3.53,100,1,false,0,USD,6.325301204819277,58450,48.89196675900277,0.0722,,0.0,Consumer non-durables,Consumer Non-Durables,america,,0.7128944245435708
148,NASDAQ:QURE,QURE,uniQure N.V.,uniqure-n-v,stock,['common'],774721009.7078313,USD,14.12,100,1,false,0,USD,6.325301204819277,1113579,,-3.9207,33.766365402483316,0.0,Health technology,Health Technology,america,1.142857,0.7936793819789474
149,NASDAQ:CRML,CRML,Critical Metals Corp.,critical-metals,stock,['common'],485122740.05183583,USD,4.92,100,1,false,0,USD,6.263498920086394,6781459,,-1.9609,-195.8955786932247,0.0,Non-energy minerals,Non-Energy Minerals,america,,1.4460826585546516
150,NYSE:WHG,WHG,Westwood Holdings Group Inc,westwood,stock,['common'],163206417.76556778,USD,17.4,100,1,false,0,USD,6.227106227106225,13747,41.70661553211888,0.4172,-51.170411985018724,3.66300366300366,Finance,Finance,america,,1.1284589684865498
151,NASDAQ:DOGZ,DOGZ,Dogness (International) Corporation,dogness-international,stock,['common'],102099880.45298013,USD,8.02,100,1,false,0,USD,6.225165562913904,21069,,-0.396,2.750491159135557,0.0,Consumer non-durables,Consumer Non-Durables,america,,0.3428468213971305
152,NASDAQ:TOYO,TOYO,"TOYO Co., Ltd",toyo-co-ltd,stock,['common'],167978708.06794053,USD,5.0,100,1,false,0,USD,6.1571125265392785,45158,4.52980612429788,1.1038,393.20822162645214,0.0,Electronic technology,Electronic Technology,america,,0.6594873412545419
153,NASDAQ:WIMI,WIMI,WiMi Hologram Cloud Inc.,wimi-hologram-cloud,stock,['common'],37711891.09392265,USD,3.84,100,1,false,0,USD,6.0773480662983355,926468,7.562032296179598,0.5078,,0.0,Technology services,Technology Services,america,,3.156100716645268
154,NASDAQ:RBBN,RBBN,Ribbon Communications Inc.,ribbon-communications,stock,['common'],711869022.6807387,USD,4.02,100,1,false,0,USD,6.068601583113444,948072,,-0.2533,18.5006435006435,0.0,Technology services,Technology Services,america,1.071429,1.77917131443001
155,NASDAQ:SGC,SGC,"Superior Group of Companies, Inc.",superior-of-companies,stock,['common'],189862995.78322926,USD,11.89,100,1,false,0,USD,6.066012488849239,55388,23.3503534956795,0.5092,-25.696775134977383,4.99553969669938,Consumer non-durables,Consumer Non-Durables,america,1.0,1.2440786769478878
156,NASDAQ:TTNP,TTNP,"Titan Pharmaceuticals, Inc.",titan-pharmaceutical,stock,['common'],5586983.181818182,USD,4.2,100,1,false,0,USD,6.060606060606066,36820,,-4.6048,27.209497162548807,0.0,Health technology,Health Technology,america,,0.5670591315463219
157,NASDAQ:GAIA,GAIA,"Gaia, Inc.",gaia-new,stock,['common'],109818157.68523002,USD,4.38,100,1,false,0,USD,6.053268765133172,26324,,-0.2207,5.884861407249458,0.0,Commercial services,Commercial Services,america,1.0,0.900329021622398
158,NYSE:WOW,WOW,"WideOpenWest, Inc.",wideopenwest,stock,['common'],288908672.3260188,USD,3.38,100,1,false,0,USD,5.9561128526645755,2656783,,-0.7029,78.44592315476373,0.0,Communications,Communications,america,2.0,5.460179462828185
