,ticker,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark
102,NASDAQ:SNDL,SNDL,SNDL Inc.,sundial-growers,stock,['common'],4.160094245852191,2.01,100,1,false,0,USD,19.642857142857135,15227542,517373971.28571427,USD,,-0.2676,15.556958030924584,0.0,Process industries,Process Industries,america,1.0
103,NASDAQ:ISSC,ISSC,"Innovative Solutions and Support, Inc.",innovative-solutions-and-support,stock,['common'],4.07797589092789,18.51,100,1,false,0,USD,4.81313703284259,2016942,325852898.2542469,USD,30.09756097560976,0.615,70.0774336283186,0.0,Electronic technology,Electronic Technology,america,1.0
104,NASDAQ:RDAG,RDAG,Republic Digital Acquisition Company,republic-digital-acquisition-company,stock,['common'],4.035426126568663,10.29,100,1,false,0,USD,-0.483558994197299,303140,308700000.0,USD,,,,0.0,Finance,Finance,america,
105,NASDAQ:DLHC,DLHC,DLH Holdings Corp.,dlh,stock,['common'],4.019800050669421,5.455,100,1,false,0,USD,-0.8181818181818169,103134,78478182.94,USD,17.213632060586935,0.3169,104.45161290322582,0.0,Commercial services,Commercial Services,america,1.0
106,NASDAQ:BOXL,BOXL,Boxlight Corporation,boxlight,stock,['common'],4.00671048488665,2.336,100,1,false,0,USD,10.188679245283007,81442,6190250.143396226,USD,,-12.6831,45.34512923493265,0.0,Electronic technology,Electronic Technology,america,2.0
107,NASDAQ:WATT,WATT,Energous Corporation,,stock,['common'],3.9934949780299784,7.42,100,1,false,0,USD,-15.122397620681777,213706,381682539.0,USD,,-1.0,71.18570811122316,0.0,Electronic technology,Electronic Technology,america,1.0
108,NASDAQ:USIO,USIO,"Usio, Inc.",usio,stock,['common'],3.985815777578353,1.455,100,1,false,0,USD,-6.730769230769229,420606,38551360.086538464,USD,13.883587786259541,0.1048,,0.0,Finance,Finance,america,1.4
109,NASDAQ:ANTE,ANTE,AirNet Technology Inc.,airnet-technology,stock,['common'],3.9813709966308406,3.405,100,1,false,0,USD,45.51282051282051,1108090,101769482.51923075,USD,10.79581483830057,0.3154,,0.0,Commercial services,Commercial Services,america,
110,NASDAQ:NAII,NAII,"Natural Alternatives International, Inc.",natural-alternatives-international,stock,['common'],3.923752128913926,3.7,100,1,false,0,USD,-0.11338480643593707,8985,22861922.6283678,USD,,-1.3895,-146.1034360609281,0.0,Health technology,Health Technology,america,
111,NASDAQ:APLM,APLM,Apollomics Inc.,apollomics,stock,['common'],3.9079938038113733,5.69,100,1,false,0,USD,0.2643171806167501,54241,6278050.2202643175,USD,,-54.4704,80.53877924342247,0.0,Finance,Finance,america,
112,NASDAQ:BLFS,BLFS,"BioLife Solutions, Inc.",biolife-solutions,stock,['common'],3.9012540847379458,22.37,100,1,false,0,USD,-1.3668430335096946,1625786,1071640810.4016755,USD,,-0.1184,91.82997515870824,0.0,Health technology,Health Technology,america,1.0
113,NASDAQ:JEM,JEM,707 Cayman Holdings Limited,707-cayman-limited,stock,['common'],3.883923451284677,4.93,100,1,false,0,USD,-21.24600638977636,860150,,USD,,,,,Distribution services,Distribution Services,america,
114,NASDAQ:RR,RR,Richtech Robotics Inc.,richtech-robotics,stock,['common'],3.8530117545148537,2.11,100,1,false,0,USD,15.30054644808742,19319382,242235982.25683057,USD,,-0.1387,-281.043956043956,0.0,Consumer durables,Consumer Durables,america,1.0
115,NASDAQ:SNTI,SNTI,"Senti Biosciences, Inc.",senti-biosciences,stock,['common'],3.8458318971884387,1.52,100,1,false,0,USD,-3.7974683544303827,359283,39763513.62025316,USD,,-8.9528,29.206170974909657,0.0,Health technology,Health Technology,america,1.0
