,ticker,name,description,logoid,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
154,NYSE:LLY,LLY,Eli Lilly and Company,eli-lilly,stock,['common'],3546000000.0,USD,635.22,100,1,false,0,USD,1.5296092064253257,11283562,601208264996.972,42.1211076335473,15.0808,88.38048841421524,0.895069128106769,Health technology,Health Technology,america,1.3,1.472205100483203
155,NYSE:FLUT,FLUT,Flutter Entertainment plc,flutter-entertainment,stock,['common'],3545000000.03434,USD,284.58,100,1,false,0,USD,1.4220036351972662,2904198,50114413154.58463,140.17338193281452,2.0302,,0.0,Consumer services,Consumer Services,america,1.19697,1.0865700049453524
156,NYSE:TECK,TECK,Teck Resources Ltd,teck-resources,stock,['common'],3501361499.9999995,USD,32.3,100,1,false,0,USD,-2.2101120193763366,3891900,15791415845.443344,103.35016106466665,0.31252974999999994,-84.6620953297498,1.1001100110011,Non-energy minerals,Non-Energy Minerals,america,1.5,0.7773001124997063
157,NYSE:LVS,LVS,Las Vegas Sands Corp.,las-vegas-sands,stock,['common'],3450000000.0,USD,53.02,100,1,false,0,USD,0.741022230666921,3688952,36395771314.611435,26.772369218339733,1.9804,-7.110694183864924,1.71005130153905,Consumer services,Consumer Services,america,1.386364,0.891745519929696
158,NYSE:DAL,DAL,"Delta Air Lines, Inc.",delta-air-lines,stock,['common'],3427000000.0,USD,53.5,100,1,false,0,USD,-0.2609992542878459,4820862,34932737090.04474,7.76048390606188,6.8939,-0.8756542244205339,1.18847874720358,Transportation,Transportation,america,1.24,0.6956098776544333
159,NYSE:LOW,LOW,"Lowe's Companies, Inc.",lowe-s,stock,['common'],3422000000.0,USD,239.85,100,1,false,0,USD,-0.5390835579514872,2689541,134420974890.40431,19.868125678216714,12.0721,-3.0454651321548685,1.92826041882646,Retail trade,Retail Trade,america,1.540541,0.9778361250895655
160,NYSE:FOUR,FOUR,"Shift4 Payments, Inc.",shift4-payments,stock,['common'],3341500000.0,USD,82.98,100,1,false,0,USD,1.6787158436466176,2691396,7338014265.204754,30.748137992366697,2.6987,63.20149975810354,0.0,Commercial services,Commercial Services,america,1.26087,0.8834161979002274
161,NYSE:CAH,CAH,"Cardinal Health, Inc.",cardinal-health,stock,['common'],3326000000.0,USD,157.66,100,1,false,0,USD,0.15882091353789468,3110432,37629817003.87726,24.62052595415079,6.4036,183.8475177304965,1.28803760879233,Distribution services,Distribution Services,america,1.368421,1.5916875301438382
162,NASDAQ:PANW,PANW,"Palo Alto Networks, Inc.",palo-alto-networks,stock,['common'],3311800000.0,USD,168.17,100,1,false,0,USD,0.6644319406201276,10217272,112248936547.10587,96.23462088698139,1.7475,-49.128118540944946,0.0,Technology services,Technology Services,america,1.412281,0.6457693098370494
163,NYSE:OMC,OMC,Omnicom Group Inc.,omnicom-group,stock,['common'],3300400000.0,USD,72.94,100,1,false,0,USD,0.0,4608359,14130147714.0,10.46454908037072,6.9702,-3.7185402105146785,3.83877159309021,Commercial services,Commercial Services,america,1.464286,1.3172479813989806
