,ticker,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
287,AMEX:BGI,BGI,Birks Group Inc.,birks-group,stock,['common'],15.073135925793798,0.6129,10000,1,false,0,USD,-2.9453681710213697,163295,12009583.81710214,USD,,-0.4717,-162.3470522803115,0.0,Retail trade,Retail Trade,america,,0.702212704289735
288,NASDAQ:RR,RR,Richtech Robotics Inc.,richtech-robotics,stock,['common'],15.053763440860203,2.11,100,1,false,0,USD,15.30054644808742,19319382,242235982.25683057,USD,,-0.1387,-281.043956043956,0.0,Consumer durables,Consumer Durables,america,1.0,3.8530117545148537
289,NASDAQ:RCEL,RCEL,"Avita Medical, Inc.",avita-medical,stock,['common'],15.045948010462727,4.81,100,1,false,0,USD,13.176470588235285,851911,127150705.54588233,USD,,-1.971,-1.3055098684210573,0.0,Health technology,Health Technology,america,1.5625,2.098684957680721
290,NASDAQ:GREE,GREE,Greenidge Generation Holdings Inc.,greenidge-generation,stock,['common'],15.037593984962403,1.35,100,1,false,0,USD,-9.999999999999993,221996,20842265.700000003,USD,,-1.8576,48.08417875408737,0.0,Technology services,Technology Services,america,,1.652278436261476
291,NASDAQ:CHR,CHR,"Cheer Holding, Inc.",glory-star-new-media-limited,stock,['common'],15.027829313543592,1.12,100,1,false,0,USD,-4.273504273504258,176874,13591836.581196584,USD,0.5636921838039157,1.9869,-41.427392252815274,0.0,Technology services,Technology Services,america,,1.6676755276720203
292,NASDAQ:IMCC,IMCC,IM Cannabis Corp.,im-cannabis,stock,['common'],15.000000000000005,2.93,100,1,false,0,USD,6.934306569343063,102302,9040373.84671533,USD,,-1.4667,69.69440254561233,0.0,Process industries,Process Industries,america,,2.1684351538223465
293,NYSE:ALB,ALB,Albemarle Corporation,albemarle,stock,['common'],14.977477477477477,80.76,100,1,false,0,USD,6.99523052464229,12469177,9504073849.00318,USD,,-9.3269,-97.24442752611766,2.14626391096979,Process industries,Process Industries,america,1.851852,2.265334917900715
294,NASDAQ:CLOV,CLOV,"Clover Health Investments, Corp.",clover-health,stock,['common'],14.957264957264943,2.47,100,1,false,0,USD,13.302752293577983,11995543,1257023961.211009,USD,,-0.0869,66.16043613707164,0.0,Finance,Finance,america,1.5,1.1213209903806511
295,NASDAQ:WULF,WULF,TeraWulf Inc.,terawulf,stock,['common'],14.940239043824702,5.4,100,1,false,0,USD,7.355864811133203,52980901,2076753767.4751492,USD,,-0.3438,-77.9503105590062,0.0,Technology services,Technology Services,america,1.083333,1.6305466160071609
296,NASDAQ:TMDX,TMDX,"TransMedics Group, Inc.",transmedics,stock,['common'],14.940000000000008,127.26,100,1,false,0,USD,11.144104803493454,2080397,4338338566.74131,USD,65.80825318026683,1.9338,5316.806722689075,0.0,Health technology,Health Technology,america,1.35,1.3316000659784333
297,NASDAQ:RZLV,RZLV,Rezolve AI PLC,rezolve-ai-limited,stock,['common'],14.925373134328362,3.02,100,1,false,0,USD,0.6666666666666672,15373831,735887541.4266666,USD,,,,0.0,Technology services,Technology Services,america,1.0,2.071733600968214
298,NASDAQ:MCHX,MCHX,"Marchex, Inc.",marchex,stock,['common'],14.923923599870507,1.97,100,1,false,0,USD,-7.5117370892018736,52089,86486420.21596244,USD,,-0.1263,21.650124069478917,0.0,Commercial services,Commercial Services,america,1.0,3.527248842059644
299,NASDAQ:CASI,CASI,"CASI Pharmaceuticals, Inc.",casi-pharmaceuticals,stock,['common'],14.906832298136646,1.73,100,1,false,0,USD,6.13496932515338,218156,26802337.036809817,USD,,-2.6855,-18.179017778560112,0.0,Health technology,Health Technology,america,1.0,0.032613623846677035
300,NASDAQ:MTEK,MTEK,Maris-Tech Ltd.,maris-tech-ltd,stock,['common'],14.893617021276599,2.3539,100,1,false,0,USD,-11.173584905660379,119186,18792513.6535,USD,,-0.1564,54.24224692802808,0.0,Consumer durables,Consumer Durables,america,,2.4253486848263597
301,NASDAQ:LHAI,LHAI,Linkhome Holdings Inc.,,stock,['common'],14.893617021276594,7.08,100,1,false,0,USD,-5.599999999999999,153421,114908400.0,USD,138.28125,0.0512,,0.0,Technology services,Technology Services,america,,0.15390824271478648
