,ticker,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
370,AMEX:EXOD,EXOD,"Exodus Movement, Inc.",exodus-movement,stock,['common'],88.25,30.12,100,1,false,0,USD,-5.579937304075227,145110,869644813.7905958,USD,17.087422703806663,1.7627,,0.0,Technology services,Technology Services,america,1.0,1.2755510158874708
371,NASDAQ:CUPR,CUPR,Cuprina Holdings (Cayman) Limited,cuprina-cayman-limited,stock,['common'],88.18181818181814,8.28,100,1,false,0,USD,0.8526187576126492,168253,176104500.0,USD,,-0.0541,,0.0,Health technology,Health Technology,america,,0.2057479510865438
372,NASDAQ:TLSA,TLSA,Tiziana Life Sciences Ltd,tiziana-life-sciences,stock,['common'],87.78625954198472,2.46,100,1,false,0,USD,11.818181818181808,1157412,274198040.7272727,USD,,-0.1112,35.57358053302434,0.0,Health technology,Health Technology,america,1.0,2.008200675014939
373,NASDAQ:INBX,INBX,"Inhibrx Biosciences, Inc.",inhibrx-biosciences,stock,['common'],87.55477651183172,21.4,100,1,false,0,USD,1.6144349477682804,69518,309784347.3884141,USD,0.17950716057418803,119.2153,,0.0,Health technology,Health Technology,america,2.0,0.7229822837204707
374,NASDAQ:APYX,APYX,Apyx Medical Corporation,apyx-medicalrporation,stock,['common'],87.39495798319328,2.23,100,1,false,0,USD,2.293577981651368,92503,84337436.92201832,USD,,-0.4515,44.858329262335126,0.0,Health technology,Health Technology,america,1.666667,0.7724399040368488
375,NYSE:PRA,PRA,ProAssurance Corporation,proassurance,stock,['common'],87.17748240813138,23.94,100,1,false,0,USD,0.12547051442911392,285303,1230842602.2760353,USD,25.274493243243242,0.9472,,0.0,Finance,Finance,america,2.166667,0.4173683076397785
376,NASDAQ:GRAL,GRAL,"GRAIL, Inc.",grail,stock,['common'],87.0137299771167,32.69,100,1,false,0,USD,-0.3960999390615556,1098715,1175973432.1249237,USD,,-60.804,-26.630151821229976,0.0,Health technology,Health Technology,america,1.75,1.3031789565150764
377,NASDAQ:LFVN,LFVN,Lifevantage Corporation,lifevantage-corporation,stock,['common'],86.44986449864498,13.76,100,1,false,0,USD,3.4586466165413463,58768,173213393.0105263,USD,19.70782010885133,0.6982,149.80322003577817,1.2406015037594,Health technology,Health Technology,america,1.0,0.8112073832460718
378,NASDAQ:PBPB,PBPB,Potbelly Corporation,potbelly,stock,['common'],86.3905325443787,12.6,100,1,false,0,USD,0.3984063745019835,222585,381284468.60557765,USD,35.39325842696629,0.356,-69.75104087008242,0.0,Consumer services,Consumer Services,america,1.25,0.6902551790458393
379,NASDAQ:TVRD,TVRD,"Tvardi Therapeutics, Inc.",tvardi-therapeutics,stock,['common'],86.18827160493825,24.13,100,1,false,0,USD,0.8568443051201601,32952,225878623.40397078,USD,,-29.6151,63.5300434337675,0.0,Health technology,Health Technology,america,1.083333,1.230815202166402
