,exchange,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,sector,market
230,NASDAQ,INVE,"Identiv, Inc.",identiv,stock,['common'],1.8625946641587883,3.52,100,1,false,0,USD,-3.0303030303030267,82786,83500831.99999999,USD,,-1.2456,-115.50173010380624,0.0,1.0,Electronic technology,Electronic Technology,america
231,NYSE,ACCO,Acco Brands Corporation,acco-brands,stock,['common'],1.8558245804375504,3.92,100,1,false,0,USD,1.0309278350515474,936687,353319529.31958765,USD,8.12603648424544,0.4824,,7.7319587628866,1.0,Producer manufacturing,Producer Manufacturing,america
232,NYSE,NAT,Nordic American Tankers Limited,nordic-american-tankers,stock,['common'],1.8477975137091205,3.03,100,1,false,0,USD,4.844290657439435,2980388,641604510.9134947,USD,17.688266199649735,0.1713,-46.50218613366645,10.0346020761246,1.5,Transportation,Transportation,america
233,NYSE,ESAB,ESAB Corporation,esab,stock,['common'],1.8429971320864047,111.93,100,1,false,0,USD,-0.6832298136645927,936371,6794006582.491304,USD,26.7570281124498,4.1832,1.4945652173913122,0.301685891748004,1.45,Producer manufacturing,Producer Manufacturing,america
234,NYSE,NMAX,"Newsmax, Inc.",newsmax,stock,['common'],1.8368983973923136,14.47,100,1,false,0,USD,11.479198767334362,1764198,1865020466.6725733,USD,,,,0.0,1.0,Consumer services,Consumer Services,america
235,NASDAQ,CUPR,Cuprina Holdings (Cayman) Limited,cuprina-cayman-limited,stock,['common'],1.8363800574316442,1.12,100,1,false,0,USD,33.34920823907609,8154087,24024000.000000004,USD,,-0.0541,,0.0,,Health technology,Health Technology,america
236,NASDAQ,BYFC,Broadway Financial Corporation,broadway-financial,stock,['common'],1.8343031310612357,7.26,100,1,false,0,USD,-0.6853531415438979,4634,66762297.58044806,USD,,-0.2835,-175.01984652024345,0.0,,Finance,Finance,america
237,NASDAQ,LNKS,Linkers Industries Limited,linkers-industries-limited,stock,['common'],1.8207219675628277,0.51,10000,1,false,0,USD,3.134479271991914,55648,6851850.0,USD,,-0.044,-183.8709677419355,0.0,,Electronic technology,Electronic Technology,america
238,NYSE,CHH,"Choice Hotels International, Inc.",choice-hotels-international,stock,['common'],1.8191527023971437,119.92,100,1,false,0,USD,0.654691959039786,802117,5548503549.627665,USD,18.40166953105819,6.5168,35.152847484341954,0.965250965250965,1.970588,Consumer services,Consumer Services,america
239,NYSE,BOX,"Box, Inc.",box,stock,['common'],1.818755730799254,31.18,100,1,false,0,USD,-1.0786802030456848,2916387,4515237639.673859,USD,24.18178997983558,1.2894,76.94524495677234,0.0,1.583333,Technology services,Technology Services,america
240,NASDAQ,SRPT,"Sarepta Therapeutics, Inc.",sarepta-therapeutics,stock,['common'],1.8141038194866475,20.06,100,1,false,0,USD,-2.526724975704566,16701545,1960131598.4071915,USD,,-0.7586,-287.54017305315205,0.0,1.928571,Health technology,Health Technology,america
241,NYSE,DLNG,Dynagas LNG Partners LP,dynagas,stock,['common'],1.8119164330148982,3.64,100,1,false,0,USD,1.111111111111112,46981,132972635.75555559,USD,2.6686217008797652,1.364,32.02981318362213,4.08333333333333,,Transportation,Transportation,america
242,NASDAQ,HSON,"Hudson Global, Inc.",hudson-global,stock,['common'],1.802442315921135,8.9933,100,1,false,0,USD,0.48379888268156807,10952,24779551.994614527,USD,,-1.2991,-86.22419724770641,0.0,,Commercial services,Commercial Services,america
243,NYSE,TPB,"Turning Point Brands, Inc.",turning-point-brands,stock,['common'],1.7988330838539708,99.25,100,1,false,0,USD,1.8157570783750472,728125,1788957610.4175215,USD,41.49420962414816,2.3919,-0.19611115747307453,0.29749692244563,1.2,Consumer non-durables,Consumer Non-Durables,america
244,NYSE,PAY,"Paymentus Holdings, Inc.",paymentus,stock,['common'],1.7903481024186656,37.15,100,1,false,0,USD,-0.18807092960773855,1105765,4653569241.065288,USD,85.10882016036655,0.4365,70.77464788732395,0.0,1.428571,Commercial services,Commercial Services,america
245,NASDAQ,CTSO,Cytosorbents Corporation,cytosorbents,stock,['common'],1.7877698471276156,0.844,10000,1,false,0,USD,-5.582279897080216,296234,52970962.957825266,USD,,-0.1823,64.98271225509026,0.0,1.5,Health technology,Health Technology,america
246,NYSE,GES,"Guess?, Inc.",guess,stock,['common'],1.7859065221468733,16.83,100,1,false,0,USD,-0.11869436201782269,3012665,875438011.6237386,USD,,-0.2986,-108.5497494631353,7.12166172106825,1.5,Consumer non-durables,Consumer Non-Durables,america
247,NASDAQ,MNOV,"MediciNova, Inc.",medicinova,stock,['common'],1.7824773413897281,1.29,100,1,false,0,USD,-1.5267175572519098,42657,63269654.129770994,USD,,-0.2408,-44.62462462462461,0.0,1.0,Health technology,Health Technology,america
248,NASDAQ,APLM,Apollomics Inc.,apollomics,stock,['common'],1.776702448027976,6.05,100,1,false,0,USD,9.999999999999996,29263,6675255.399999999,USD,,-54.4704,80.53877924342247,0.0,,Finance,Finance,america
249,NASDAQ,MURA,Mural Oncology plc,mural-oncology-plc,stock,['common'],1.7764188503333045,2.07,100,1,false,0,USD,-0.956937799043063,1312363,35861423.81339713,USD,,-8.5812,17.055394995022084,0.0,2.0,Health technology,Health Technology,america
250,NASDAQ,BIOX,Bioceres Crop Solutions Corp.,bioceres-crop-solutions,stock,['common'],1.7736485311708905,2.94,100,1,false,0,USD,8.888888888888879,408047,184369890.28888887,USD,,-0.1451,-471.0997442455243,0.0,1.0,Process industries,Process Industries,america
251,NYSE,BF.A,Brown Forman Inc,brown-forman,stock,['common'],1.7670039653469325,30.63,100,1,false,0,USD,0.7234462347911833,186934,14486531399.601446,USD,16.670294982039838,1.8374,-14.396198285501303,2.95067412035515,2.025,Consumer non-durables,Consumer Non-Durables,america
252,NASDAQ,TRVI,"Trevi Therapeutics, Inc.",trevi-therapeutics,stock,['common'],1.7667889553492748,7.49,100,1,false,0,USD,0.9433962264150981,2297279,912108599.4339622,USD,,-0.4207,-8.45578757411704,0.0,1.0,Health technology,Health Technology,america
253,NASDAQ,UBCP,"United Bancorp, Inc.",united-bancorp,stock,['common'],1.7655042190358174,14.3,100,1,false,0,USD,0.775193798449621,2992,82568357.20930232,USD,11.246559182068424,1.2715,-13.971583220568329,5.1092318534179,1.0,Finance,Finance,america
254,NYSE,CVI,CVR Energy Inc.,cvr-energy,stock,['common'],1.765343176547784,26.84,100,1,false,0,USD,-7.095880927656631,2923391,2698241287.2772584,USD,,-3.3134,-160.87675461159697,1.7307026652821,2.571429,Energy minerals,Energy Minerals,america
255,NYSE,WSO,"Watsco, Inc.",watsco,stock,['common'],1.7589304577895868,405.63,100,1,false,0,USD,-3.1377605845690923,502855,16458860543.79798,USD,31.05396528888923,13.0621,0.8781007692070039,2.72225804140698,1.941176,Producer manufacturing,Producer Manufacturing,america
256,NYSE,CNA,CNA Financial Corporation,cna,stock,['common'],1.7555564793419294,49.32,100,1,false,0,USD,0.8176614881439054,764380,13349217288.053967,USD,15.324860951433987,3.2183,-31.475961333730783,3.67947669664759,2.25,Finance,Finance,america
257,NYSE,ZVIA,Zevia PBC,zevia-pbc,stock,['common'],1.7537071342179649,3.1,100,1,false,0,USD,2.31023102310232,1448802,232343737.49174917,USD,,-0.23,54.50049455984174,0.0,1.333333,Consumer non-durables,Consumer Non-Durables,america
258,NYSE,ALL,Allstate Corporation (The),allstate,stock,['common'],1.7527773844736803,206.55,100,1,false,0,USD,-3.3096152045688574,1991828,54427026851.71731,USD,9.712915285321296,21.2655,93.32096980936538,1.79758449583372,1.480769,Finance,Finance,america
259,NASDAQ,WDAY,"Workday, Inc.",workday,stock,['common'],1.7511737728660368,227.58,100,1,false,0,USD,0.039562178557300716,6441322,60763861467.58038,USD,125.66537824406406,1.811,-67.30515787763356,0.0,1.357143,Technology services,Technology Services,america
260,NASDAQ,APLT,"Applied Therapeutics, Inc.",applied-therapeutics,stock,['common'],1.7506784078776507,0.5141,10000,1,false,0,USD,2.9435322386864216,1584792,74036635.2897477,USD,,-0.4448,64.47851780865676,0.0,1.625,Health technology,Health Technology,america
261,AMEX,UMAC,"Unusual Machines, Inc.",unusual-machines,stock,['common'],1.74917286807629,10.51,100,1,false,0,USD,9.251559251559257,3977359,319901128.3253639,USD,,-3.9272,-468.91206721715196,0.0,1.0,Electronic technology,Electronic Technology,america
262,AMEX,VENU,Venu Holding Corporation,venu,stock,['common'],1.7436354414196578,18.1,100,1,false,0,USD,1.1173184357542059,100379,736511060.7653633,USD,,-1.0368,,0.0,1.0,Consumer services,Consumer Services,america
263,NASDAQ,OP,OceanPal Inc.,oceanpal,stock,['common'],1.7432910290146806,0.0806,10000,1,false,0,USD,-20.980392156862735,67208025,11074457.384313727,USD,,-2.64,-63.731084098238654,0.0,,Transportation,Transportation,america
264,NASDAQ,EDTK,Skillful Craftsman Education Technology Limited,skillful-craftsman-education-technology-limited,stock,['common'],1.7431524598339576,1.04,100,1,false,0,USD,2.970297029702973,17826,16566628.514851484,USD,,-0.2793,8.635917566241423,0.0,,Commercial services,Commercial Services,america
