,exchange,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,sector,market
445,NYSE,DHI,"D.R. Horton, Inc.",dr-horton,stock,['common'],1.808554071732719,172.09,100,1,false,0,USD,-3.249564288525328,5746718,51304077757.08591,USD,13.793794435671977,12.4759,-16.206141529203162,0.899533367065835,1.795455,Consumer durables,Consumer Durables,america
446,NASDAQ,INSG,Inseego Corp.,inseego,stock,['common'],1.8082363744492924,13.02,100,1,false,0,USD,-2.1788129226145823,482836,195858826.03005257,USD,39.6709323583181,0.3282,,0.0,1.666667,Electronic technology,Electronic Technology,america
447,NYSE,AP,Ampco-Pittsburgh Corporation,ampco-pittsburgh-series-a,stock,['common'],1.8074920334945064,2.53,100,1,false,0,USD,-4.1666666666666785,71923,51402087.62499999,USD,,-0.2511,88.13327032136105,0.0,,Non-energy minerals,Non-Energy Minerals,america
448,NASDAQ,LITM,Snow Lake Resources Ltd.,snow-lake-resources-ltd,stock,['common'],1.8060307407281513,4.15,100,1,false,0,USD,6.683804627249364,313504,32466944.64010283,USD,,,,0.0,,Process industries,Process Industries,america
449,NYSE,ECO,Okeanis Eco Tankers Corp.,sector/energy,stock,['common'],1.8057191892559041,30.75,100,1,false,0,USD,5.092276144907718,231891,974160779.784689,USD,14.735480161012074,2.0868,-44.8563803081151,6.2200956937799,1.0,Transportation,Transportation,america
450,NASDAQ,CFFN,"Capitol Federal Financial, Inc.",capitol-federal-financial-new,stock,['common'],1.804805573079701,6.45,100,1,false,0,USD,0.15527950310558675,1003863,856565538.5869564,USD,13.700084961767205,0.4708,,5.27950310559006,2.0,Finance,Finance,america
451,NASDAQ,KOSS,Koss Corporation,koss,stock,['common'],1.8044294213988072,5.795,100,1,false,0,USD,1.845342706502628,75910,54800059.00439366,USD,,-0.0938,8.75486381322958,0.0,,Consumer durables,Consumer Durables,america
452,NYSE,UNF,Unifirst Corporation,unifirst,stock,['common'],1.8022902474354872,171.6,100,1,false,0,USD,0.01748557440111974,161622,3060384073.180626,USD,21.07486736097465,8.1424,18.849802948474682,0.804336422451478,2.333333,Consumer services,Consumer Services,america
453,NYSE,IHS,IHS Holding Limited,ihs-holding,stock,['common'],1.801750039922153,7.17,100,1,false,0,USD,-5.781865965834434,783033,2390771643.0630746,USD,21.609403254972875,0.3318,,0.0,1.214286,Industrial services,Industrial Services,america
454,NASDAQ,RNAC,"Cartesian Therapeutics, Inc.",selecta-biosciences,stock,['common'],1.7985996374612399,9.79,100,1,false,0,USD,1.1363636363636305,87415,254560006.7954545,USD,,,,0.0,1.222222,Health technology,Health Technology,america
455,NYSE,IONQ,"IonQ, Inc.",ionq,stock,['common'],1.7924088990312528,59.11,100,1,false,0,USD,6.293832044596296,34676108,17596007067.91656,USD,,-2.0174,-154.69006438580985,0.0,1.222222,Electronic technology,Electronic Technology,america
456,AMEX,TOON,"Kartoon Studios, Inc.",genius-brands,stock,['common'],1.791380201584246,0.7801,10000,1,false,0,USD,-1.0904019272220036,380858,37432681.59604413,USD,,-0.4638,67.04561602955805,0.0,,Consumer services,Consumer Services,america
457,NASDAQ,GABC,"German American Bancorp, Inc.",german-american-bancorp,stock,['common'],1.7905859571378033,40.91,100,1,false,0,USD,0.0,192334,1533835504.0,USD,15.547448029491125,2.6313,-5.593427095292765,2.78660474211684,1.583333,Finance,Finance,america
458,AMEX,PLX,"Protalix BioTherapeutics, Inc. (DE)",protalix-biotherapeutics,stock,['common'],1.789313914422634,1.91,100,1,false,0,USD,5.524861878453031,1353468,152288338.43646407,USD,25.81081081081081,0.074,,0.0,1.0,Health technology,Health Technology,america
459,NASDAQ,IROH,Iron Horse Acquisitions Corp.,iron-horse-acquisitions,stock,['common'],1.7879303979133667,10.88,100,1,false,0,USD,21.428571428571423,15012,23562282.880000003,USD,220.68965517241384,0.0493,,0.0,,Finance,Finance,america
460,NASDAQ,MNDY,monday.com Ltd.,monday-com,stock,['common'],1.7831344715886759,193.49,100,1,false,0,USD,0.8022922636103259,1929844,9824132336.892265,USD,261.0496492174852,0.7412,-6.743834927025665,0.0,1.173077,Technology services,Technology Services,america
461,NYSE,HRTG,"Heritage Insurance Holdings, Inc.",heritage-insurance,stock,['common'],1.7827676527185958,24.09,100,1,false,0,USD,-2.03334688897926,622845,747213277.6604311,USD,6.957802616757647,3.4623,77.11786372007366,0.0,1.333333,Finance,Finance,america
462,NASDAQ,SRRK,Scholar Rock Holding Corporation,scholar-rock,stock,['common'],1.7787259573929168,33.67,100,1,false,0,USD,6.315124723713293,2985951,3236605051.301863,USD,,-3.0171,-29.500386299253158,0.0,1.0,Health technology,Health Technology,america
463,NASDAQ,CMPR,Cimpress plc,cimpress-n-v,stock,['common'],1.7757443052734687,57.59,100,1,false,0,USD,0.8581436077057828,362751,1409865747.1777585,USD,114.60696517412937,0.5025,-92.24848054792831,0.0,1.0,Commercial services,Commercial Services,america
464,NASDAQ,HWC,Hancock Whitney Corporation,hancock-whitney,stock,['common'],1.7744915849249512,63.07,100,1,false,0,USD,-0.23726668775703666,1249271,5345496336.599336,USD,11.637175489418235,5.4197,27.43839352896915,2.68902246124644,1.222222,Finance,Finance,america
465,NASDAQ,ERNA,Ernexa Therapeutics Inc.,ernexa-therapeutics,stock,['common'],1.7743368343906822,1.18,100,1,false,0,USD,-8.527131782945743,195135,9051649.193798449,USD,,-78.3602,-18.072452543614066,0.0,,Health technology,Health Technology,america
466,NASDAQ,EUDA,Euda Health Holdings Limited,euda-health-limited,stock,['common'],1.7696514336230789,1.06,100,1,false,0,USD,-7.01754385964911,302469,39385766.333333336,USD,,,,0.0,,Health services,Health Services,america
467,AMEX,UUUU,Energy Fuels Inc,energy-fuels,stock,['common'],1.7664008048140256,13.82,100,1,false,0,USD,15.842414082145856,19534718,3187927358.952221,USD,,-0.4865,-552.1447721179625,0.0,1.142857,Non-energy minerals,Non-Energy Minerals,america
468,NASDAQ,FCCO,First Community Corporation,first-community,stock,['common'],1.7653213294136862,28.1,100,1,false,0,USD,0.6446991404011451,34589,215969682.68982807,USD,12.615605638861455,2.2274,56.60549813682064,2.18481375358166,1.0,Finance,Finance,america
469,NASDAQ,GLSI,"Greenwich LifeSciences, Inc.",greenwich-lifesciences,stock,['common'],1.7639248804170806,11.68,100,1,false,0,USD,4.007123775601062,137771,159201391.24487978,USD,,-1.3628,-71.59405691261647,0.0,1.0,Health technology,Health Technology,america
470,NASDAQ,HIFS,Hingham Institution for Savings,hingham-institution,stock,['common'],1.7590220430457117,289.5,100,1,false,0,USD,0.959023539668701,67630,631182354.3034002,USD,18.869154309923417,15.3425,63.21808510638297,0.878814298169137,,Finance,Finance,america
471,NASDAQ,NTCL,NETCLASS TECHNOLOGY INC,netclass-technology,stock,['common'],1.7568992528320075,1.63,100,1,false,0,USD,3.164556962025305,139956,22428801.031645566,USD,,,,0.0,,Technology services,Technology Services,america
472,NASDAQ,ATLO,Ames National Corporation,ames-national,stock,['common'],1.7567037792065234,20.6,100,1,false,0,USD,0.4878048780487874,22405,183312998.92682928,USD,13.446475195822455,1.532,44.242538367385364,2.92682926829268,,Finance,Finance,america
