,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
362,NASDAQ,DHAI,"DIH Holding US, Inc.",dih-us,stock,['common'],0.1961,-0.007800000000000001,-3.825404610102992,25813,2.206964198136343,0.194,-4.855321235899948,1180681,9183242.609122118,-85.06617134340709,10000,1,false,0,USD,USD
363,NASDAQ,RBNE,Robin Energy Ltd.,robin-energy-ltd,stock,['common'],1.3699,0.009899999999999798,0.7279411764705733,166041,2.205882352941162,1.28,-5.8823529411764754,2059054,7673255.529411764,,100,1,false,0,USD,USD
364,NASDAQ,TATT,TAT Technologies Ltd.,tat-technologies,stock,['common'],35.77,-0.9450000000000003,-2.5738798856053386,1125,2.1925643469971394,38.57,5.052430886558619,171705,497062740.26501423,165.01788308536888,100,1,false,0,USD,USD
365,NASDAQ,MESA,"Mesa Air Group, Inc.",mesa-air-group,stock,['common'],1.42,0.04999999999999982,3.649635036496337,10447,2.1897810218977956,1.38,0.7299270072992544,78520,57776423.73722627,2.164280838219808,100,1,false,0,USD,USD
366,NASDAQ,AXTI,AXT Inc,axt,stock,['common'],3.73,0.06999999999999984,1.9125683060109244,35004,2.1857923497267775,3.98,8.7431693989071,1808751,183577246.6284153,13.475336118204234,100,1,false,0,USD,USD
367,NASDAQ,CLIR,ClearSign Technologies Corporation,clearsign,stock,['common'],0.5519,0.011799999999999922,2.1847805961858766,200,2.1847805961858766,0.5302,-1.83299389002037,161133,27796412.843177192,-18.636632119516307,10000,1,false,0,USD,USD
368,NASDAQ,PGNY,"Progyny, Inc.",progyny,stock,['common'],22.9,0.389999999999997,1.7325633051976768,10625,2.176810306530424,22.13,-1.6881386050644271,1023729,1902790678.1470456,-4.026478650077109,100,1,false,0,USD,USD
369,NASDAQ,SATS,EchoStar Corporation,echostar,stock,['common'],71.92,-2.969999999999999,-3.965816530912003,34710,2.1765255708372218,71.94,-3.9391106956870114,7512182,20698320143.555347,252.95075650932986,100,1,false,0,USD,USD
370,NASDAQ,VTYX,"Ventyx Biosciences, Inc.",ventyx-biosciences,stock,['common'],2.39,0.0900000000000003,3.913043478260883,1191,2.1739130434782727,2.3,0.0,555198,164009587.0,8.597047410507534,100,1,false,0,USD,USD
371,NASDAQ,DVLT,Datavault AI Inc.,wisa-technologies,stock,['common'],0.3365,0.0037000000000000366,1.1117788461538571,302601,2.1634615384615508,0.3346,0.5408653846153918,2864762,33022469.278245192,392.4644816243169,10000,1,false,0,USD,USD
372,NASDAQ,GLXY,Galaxy Digital Inc.,galaxy-digital,stock,['common'],29.7,0.0,0.0,215035,2.1548821548821566,30.77,3.602693602693604,7869389,11717777043.157024,138.03682631318028,100,1,false,0,USD,USD
373,NASDAQ,VERI,"Veritone, Inc.",veritone,stock,['common'],3.85,0.1200000000000001,3.2171581769437028,99163,2.1447721179624684,3.92,5.093833780160857,4685311,231947903.8927614,42.809454874790454,100,1,false,0,USD,USD
374,NASDAQ,YYGH,YY Group Holding Limited,yy-limited,stock,['common'],0.412,-0.027200000000000002,-6.1930783242258665,791836,2.140255009107473,0.4096,-6.739526411657551,3818089,15666196.48,,10000,1,false,0,USD,USD
375,NASDAQ,HYPD,"Hyperion DeFi, Inc.",eyenovia,stock,['common'],13.86,-1.120000000000001,-7.476635514018698,83895,2.1361815754339135,11.56,-22.83044058744993,2625378,65830258.9506008,-17.893742502136423,100,1,false,0,USD,USD
376,NYSE,CINT,CI&T Inc,ciandt,stock,['common'],5.25,0.08000000000000007,1.547388781431336,1783,2.1276595744680913,5.5,6.382978723404256,783144,733013288.2978723,-18.953065493922974,100,1,false,0,USD,USD
377,NASDAQ,IMTE,Integrated Media Technology Limited,integrated-media,stock,['common'],1.14,-0.03500000000000014,-2.978723404255331,6506,2.1276595744680775,1.08,-8.08510638297872,50447,3705948.765957447,-3.070754071965502,100,1,false,0,USD,USD
378,NASDAQ,SUIG,Sui Group Holdings Limited,mill-city-ventures-iii-ltd,stock,['common'],4.3,0.040000000000000036,0.9389671361502356,46706,2.112676056338025,4.28,0.4694835680751282,1309208,351595298.6854461,2962.3968924969536,100,1,false,0,USD,USD
379,NYSE,DHT,"DHT Holdings, Inc.",dht,stock,['common'],12.6,0.2599999999999998,2.106969205834682,9693,2.106969205834682,12.75,3.3225283630470024,2420508,2047114314.019449,7.610359233189857,100,1,false,0,USD,USD
380,NASDAQ,OMCL,"Omnicell, Inc.",omnicell,stock,['common'],32.15,0.3200000000000003,1.0053408733898848,449,2.1049324536600746,32.26,1.3509267986176556,373172,1481838897.3986804,-26.825974029498504,100,1,false,0,USD,USD
381,NASDAQ,ANAB,"AnaptysBio, Inc.",anaptysbio,stock,['common'],26.42,3.020000000000003,12.90598290598292,1927,2.0940170940171026,20.16,-13.846153846153841,966699,564418774.7692308,-50.51961525594984,100,1,false,0,USD,USD
382,NASDAQ,MVBF,MVB Financial Corp.,mvb-financial,stock,['common'],24.45,0.5,2.0876826722338206,200,2.0876826722338206,24.34,1.6283924843423823,22978,309880463.965762,14.423191902286607,100,1,false,0,USD,USD
383,NASDAQ,STTK,"Shattuck Labs, Inc.",shattuck-labs,stock,['common'],1.92,0.0,0.0,1100,2.0833333333333353,1.79,-6.770833333333329,328829,85746750.375,-72.5789499084483,100,1,false,0,USD,USD
384,NASDAQ,STIM,"Neuronetics, Inc.",neuronetics,stock,['common'],3.19,0.06499999999999995,2.0799999999999983,2100,2.0799999999999983,2.87,-8.159999999999997,2865932,189778224.67520002,723.0404884516945,100,1,false,0,USD,USD
385,NASDAQ,MTSR,"Metsera, Inc.",metsera,stock,['common'],36.08,0.4099999999999966,1.1494252873563122,7653,2.0745724698626153,34.21,-4.093075413512758,1251475,3593949906.585366,,100,1,false,0,USD,USD
386,NASDAQ,KRRO,"Korro Bio, Inc.",korro-bio,stock,['common'],31.39,0.629999999999999,2.0481144343302957,1492,2.0643693107932313,31.35,1.9180754226267873,120075,294404826.0907022,-51.15556492561769,100,1,false,0,USD,USD
387,NYSE,WRBY,Warby Parker Inc.,warby-parker,stock,['common'],26.65,-0.10000000000000142,-0.3738317757009399,305,2.056074766355143,26.36,-1.4579439252336468,1408509,3214825698.350654,78.71132772569575,100,1,false,0,USD,USD
388,NASDAQ,SNGX,"Soligenix, Inc.",soligenix,stock,['common'],2.87,-0.04999999999999982,-1.7123287671232816,10625,2.054794520547947,2.75,-5.821917808219176,184386,11785317.123287672,66.45130541693244,100,1,false,0,USD,USD
389,NASDAQ,AACI,Armada Acquisition Corp. II,armada-acquisition-ii,stock,['common'],10.46,0.21000000000000085,2.0487804878048865,200,2.0487804878048865,10.26,0.09756097560975402,19142,324113390.99121946,,100,1,false,0,USD,USD
390,NASDAQ,ENVB,"Enveric Biosciences, Inc.",enveric-biosciences,stock,['common'],0.98,0.010099999999999998,1.041344468501907,1408,2.0414475719146346,0.9403,-3.0518610165996454,56346,3052480.9890710386,-18.949895127383826,10000,1,false,0,USD,USD
391,NYSE,OTF,Blue Owl Technology Finance Corp.,blue-owl,stock,['common'],15.06,0.3600000000000012,2.4489795918367427,700,2.040816326530617,15.13,2.9251700680272212,2606379,7067855110.814965,,100,1,false,0,USD,USD
392,NYSE,DHX,"DHI Group, Inc.",dhi-group,stock,['common'],2.95,0.010000000000000231,0.3401360544217766,1028,2.040816326530614,2.95,0.3401360544217766,165467,141630544.54081637,40.60016722487273,100,1,false,0,USD,USD
393,NASDAQ,JAGX,"Jaguar Health, Inc.",jaguar-health,stock,['common'],1.96,0.0,0.0,2342,2.040816326530614,1.97,0.5102040816326535,43985,4284437.413265306,-66.35117690498383,100,1,false,0,USD,USD
394,NASDAQ,POLA,"Polar Power, Inc.",polar-power,stock,['common'],2.46,0.009999999999999787,0.40816326530611374,1396,2.0408163265306047,2.45,0.0,30930,6153254.0,-25.49165370677783,100,1,false,0,USD,USD
395,NASDAQ,BDMD,Baird Medical Investment Holdings Ltd,baird-medical-investment-ltd,stock,['common'],2.47,0.020000000000000018,0.8163265306122455,43743,2.0408163265306047,2.6,6.122448979591832,417215,92894430.0408163,20.427162398861324,100,1,false,0,USD,USD
396,NASDAQ,ITRN,Ituran Location and Control Ltd.,ituran-location-and-control-ltd,stock,['common'],34.92,-0.04999999999999716,-0.1429796968830345,663,2.0303116957392073,36.185,3.4744066342579454,173739,719849198.9223621,18.08710610168128,100,1,false,0,USD,USD
397,NASDAQ,DXST,Decent Holding Inc.,decent,stock,['common'],1.56,0.08000000000000007,5.405405405405411,4888,2.027027027027029,1.55,4.729729729729734,30774,23250000.0,,100,1,false,0,USD,USD
