,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
427,NASDAQ,GNSS,Genasys Inc.,genasys,stock,['common'],92115187.2121212,USD,2.04,100,1,false,0,USD,3.030303030303033,175830,,-0.6262,14.336525307797537,0.0,1.0724114039239412,1.0,Electronic technology,Electronic Technology,america
428,NYSE,PFSI,"PennyMac Financial Services, Inc.",pennymac-financial-services,stock,['common'],6259498969.02162,USD,121.05,100,1,false,0,USD,3.0300451102221486,744130,16.78033768610164,7.2138,99.44152612662427,1.0213635202996,1.8420454618592397,1.3125,Finance,Finance,america
429,NYSE,IPI,"Intrepid Potash, Inc",intrepid-potash,stock,['common'],390027124.5898698,USD,29.29,100,1,false,0,USD,3.024973619416108,173653,,-15.5827,-311.55481604732853,0.0,0.8675011652240202,3.0,Non-energy minerals,Non-Energy Minerals,america
430,NASDAQ,OUST,"Ouster, Inc.",ouster,stock,['common'],1636284467.4808886,USD,28.3,100,1,false,0,USD,3.0214779759737964,2004720,,-1.8097,38.13202967419917,0.0,0.944181295317907,1.166667,Electronic technology,Electronic Technology,america
431,NYSE,COUR,"Coursera, Inc.",coursera,stock,['common'],1898920003.0905862,USD,11.6,100,1,false,0,USD,3.0195381882770858,1894296,,-0.3192,49.18006686833307,0.0,0.8726867854496182,1.53125,Technology services,Technology Services,america
432,NASDAQ,RILY,"B. Riley Financial, Inc.",b-riley-financial,stock,['common'],156297462.88944724,USD,5.125,100,1,false,0,USD,3.01507537688443,836362,,-25.4206,-812.6700893979105,20.1005025125628,0.8702056916784828,,Finance,Finance,america
433,NYSE,ELF,"e.l.f. Beauty, Inc.",e-l-f-beauty,stock,['common'],7829416468.851236,USD,138.0,100,1,false,0,USD,3.0081361498843036,2355822,81.85538881309687,1.6859,-19.84119437048308,0.0,1.2941756650991638,1.25,Consumer non-durables,Consumer Non-Durables,america
434,NASDAQ,PZZA,"Papa John's International, Inc.",papa-johns-international,stock,['common'],1627742204.8513682,USD,49.69,100,1,false,0,USD,3.0058043117744524,1016496,21.90048040900877,2.2689,8.259375894646425,3.81426202321725,0.829362061819333,1.647059,Consumer services,Consumer Services,america
435,NASDAQ,RGP,"Resources Connection, Inc.",resources-connection,stock,['common'],171700391.27,USD,5.15,100,1,false,0,USD,3.000000000000007,242905,,-5.8175,-1035.1390451695868,8.4,0.8390967511492002,2.0,Commercial services,Commercial Services,america
436,NASDAQ,GDRX,"GoodRx Holdings, Inc.",goodrx,stock,['common'],1431493972.19,USD,4.12,100,1,false,0,USD,3.0000000000000027,3458063,44.396551724137936,0.0928,,0.0,1.2530358752346864,1.558824,Technology services,Technology Services,america
437,NASDAQ,SKYE,"Skye Bioscience, Inc.",skye-bioscience,stock,['common'],127672292.46000001,USD,4.12,100,1,false,0,USD,3.0000000000000027,412421,,-1.0687,72.64653186588176,0.0,1.5018989459930219,1.0,Health technology,Health Technology,america
438,NASDAQ,WOOF,"Petco Health and Wellness Company, Inc.",petco-health-and-wellness,stock,['common'],1059374725.0136241,USD,3.78,100,1,false,0,USD,2.9972752043596698,2931117,,-0.1039,97.91403160071472,0.0,0.4246886230082649,2.038462,Retail trade,Retail Trade,america
439,NYSE,MSGE,Madison Square Garden Entertainment Corp.,madison-square-garden,stock,['common'],1997121261.3450806,USD,42.08,100,1,false,0,USD,2.985805188448358,437166,55.64665432425284,0.7562,-75.36085497377081,0.0,1.1765544941579473,1.25,Consumer services,Consumer Services,america
440,NASDAQ,CPSS,"Consumer Portfolio Services, Inc.",consumer-portfolio-services,stock,['common'],177126756.6124031,USD,7.97,100,1,false,0,USD,2.971576227390175,26903,9.93889512408031,0.8019,-25.72248981104112,0.0,1.5079311697774789,,Finance,Finance,america
441,NYSE,KNOP,KNOT Offshore Partners LP,knot-offshore-partners,stock,['common'],291380975.0296296,USD,8.34,100,1,false,0,USD,2.962962962962966,35133,20.13034033309196,0.4143,,1.28395061728395,0.45231875642918845,1.0,Transportation,Transportation,america
442,NASDAQ,THRY,"Thryv Holdings, Inc.",thryv,stock,['common'],565460061.5663999,USD,12.87,100,1,false,0,USD,2.9599999999999937,637504,,-2.3649,69.66209975369459,0.0,1.320941631737045,1.2,Technology services,Technology Services,america
443,NASDAQ,CAMT,Camtek Ltd.,camtek,stock,['common'],3874964940.901905,USD,81.075,100,1,false,0,USD,2.952380952380956,239221,29.934647762516615,2.7084,35.7457898957498,1.68888888888889,0.7051651465580085,1.25,Electronic technology,Electronic Technology,america
444,AMEX,ELLO,Ellomay Capital Ltd,ellomay-capital-ltd,stock,['common'],242399755.50080565,USD,18.86,100,1,false,0,USD,2.9475982532751046,1614,42.92777240687462,0.43934261999999996,,0.0,0.8289676425269645,,Utilities,Utilities,america
445,AMEX,UUUU,Energy Fuels Inc,energy-fuels,stock,['common'],2745031546.7647057,USD,11.9,100,1,false,0,USD,2.9411764705882337,10099132,,-0.4865,-552.1447721179625,0.0,0.6569158575028082,1.142857,Non-energy minerals,Non-Energy Minerals,america
