,exchange,name,description,logoid,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,market,sector
319,NASDAQ,SFM,"Sprouts Farmers Market, Inc.",sprouts-farmers-markets,stock,['common'],326410896.24,USD,128.88,100,1,false,0,-5.221356081776729,2532673,1.4900440381629956,12594948832.629505,USD,26.552391940335408,4.8538,52.36690105474635,0.0,1.527778,Retail trade,america,Retail Trade
320,NYSE,THC,Tenet Healthcare Corporation,tenet-healthcare,stock,['common'],325125213.75,USD,186.75,100,1,false,0,-3.1480136915257715,1740965,1.4664195799672106,16499549489.224407,USD,11.955213561405307,15.6208,-42.84961657788445,0.0,1.346154,Health services,america,Health Services
321,NYSE,NSC,Norfolk Southern Corporation,norfolk-southern,stock,['common'],324141114.44000006,USD,277.16,100,1,false,0,0.8881770529994167,1169509,0.7065628642478741,62182040581.59362,USD,18.72550874253439,14.8012,87.09881303012298,1.96563774024461,1.729167,Transportation,america,Transportation
322,NYSE,DOW,Dow Inc.,dow,stock,['common'],318858664.44,USD,24.17,100,1,false,0,-3.4744408945686795,13192332,0.9358647298045907,17132762915.34465,USD,,-1.4006,-186.6815199900978,9.78434504792332,1.9,Process industries,america,Process Industries
323,NYSE,SYK,Stryker Corporation,stryker,stock,['common'],317948606.09000003,USD,377.11,100,1,false,0,-1.625189127145605,843119,0.8871790624987833,144171909055.91272,USD,49.900096595344905,7.5573,-15.714397243009945,0.866071894401837,1.34375,Health technology,america,Health Technology
324,NYSE,MPC,Marathon Petroleum Corporation,marathon-petroleum,stock,['common'],317681370.9,USD,179.94,100,1,false,0,-0.18859551808298392,1765485,0.990619586053843,54705416857.299644,USD,26.65580327383157,6.7505,-64.53190840978111,2.0190814288884,1.595238,Energy minerals,america,Energy Minerals
325,NASDAQ,PCAR,PACCAR Inc.,paccar,stock,['common'],315949384.13,USD,102.17,100,1,false,0,-0.3316749585406335,3092389,1.339587449436609,53649814837.47097,USD,17.51045451429355,5.8348,-38.17823502611754,1.25841381328651,1.785714,Producer manufacturing,america,Producer Manufacturing
326,NYSE,CRH,CRH PLC,crh,stock,['common'],314472349.32,USD,113.24,100,1,false,0,-0.1322867977775868,2777043,0.8077511848409469,76171938921.27911,USD,23.669084296553308,4.7843,-0.8928201516344184,1.28536996207778,1.26,Non-energy minerals,america,Non-Energy Minerals
327,NYSE,DECK,Deckers Outdoor Corporation,deckers-outdoor,stock,['common'],313288979.84,USD,118.66,100,1,false,0,0.13502109704641063,2640224,1.0287354823742503,17602422299.52388,USD,18.22230412481956,6.5118,24.453873057737507,0.0,1.615385,Consumer non-durables,america,Consumer Non-Durables
328,NYSE,CI,The Cigna Group,cigna,stock,['common'],313129697.68,USD,297.14,100,1,false,0,-1.8562557801559008,1053812,0.7628748137265153,79315009298.8213,USD,16.225986479254722,18.3126,44.026992378900005,1.92231470471661,1.326923,Finance,america,Finance
329,NYSE,DKS,Dick's Sporting Goods Inc,dicks-sporting-goods,stock,['common'],311743966.8,USD,226.1,100,1,false,0,2.0767494356659117,1378788,0.5578988798265724,20275899610.020767,USD,15.78271370534281,14.3258,5.1080002347831135,2.08803611738149,1.625,Retail trade,america,Retail Trade
330,NYSE,FIX,"Comfort Systems USA, Inc.",comfort-systems-usa,stock,['common'],310774939.25,USD,782.05,100,1,false,0,3.762820257665605,397385,0.9800582434049505,27591859766.040344,USD,40.19107527379062,19.4583,63.37783375314863,0.225556926587854,1.35,Industrial services,america,Industrial Services
331,NYSE,TFC,Truist Financial Corporation,truist-financial,stock,['common'],309169538.64,USD,44.78,100,1,false,0,-0.9292035398230125,6904188,0.8637003063563147,57740908364.97787,USD,12.168808935025409,3.6799,,4.60176991150443,1.711538,Finance,america,Finance
332,NYSE,AMP,"Ameriprise Financial, Inc.",ameriprise-financial,stock,['common'],308593210.05,USD,487.65,100,1,false,0,-1.8970789410155322,632817,1.3858719754123834,45971525317.91492,USD,15.171879520996088,32.1417,10.109384153172075,1.23923714492637,1.733333,Finance,america,Finance
333,NASDAQ,NTAP,"NetApp, Inc.",netapp,stock,['common'],307648862.71999997,USD,124.16,100,1,false,0,0.12903225806451338,2477842,1.1328853136971093,24784619667.870968,USD,21.937946144603856,5.6596,10.32143622931328,1.67741935483871,1.761905,Electronic technology,america,Electronic Technology
334,NYSE,DVN,Devon Energy Corporation,devon-energy,stock,['common'],307379301.57000005,USD,33.77,100,1,false,0,-2.876042565429968,9102141,1.3586428159634865,21437195869.853897,USD,7.564455793741462,4.4643,-19.07662189352331,3.27868852459016,1.342857,Energy minerals,america,Energy Minerals
335,NYSE,LVS,Las Vegas Sands Corp.,las-vegas-sands,stock,['common'],304470831.46000004,USD,53.09,100,1,false,0,-0.7663551401869095,5734994,1.1069708449439126,36443822329.55122,USD,26.807715613007474,1.9804,-7.110694183864924,1.77570093457944,1.386364,Consumer services,america,Consumer Services
336,NYSE,ALL,Allstate Corporation (The),allstate,stock,['common'],303753425.72999996,USD,196.89,100,1,false,0,-1.746594141424223,1542757,1.2388030458638097,51881566347.79645,USD,9.258658390350567,21.2655,93.32096980936538,1.95618543839513,1.480769,Finance,america,Finance
337,NYSE,ECL,Ecolab Inc.,ecolab,stock,['common'],302843980.76,USD,270.61,100,1,false,0,-0.7372900007336185,1119116,0.8947526557167969,76751735100.23169,USD,36.187967210045606,7.4779,25.428135325986684,0.924363583009317,1.538462,Process industries,america,Process Industries
338,NYSE,MCO,Moody's Corporation,moodys,stock,['common'],299933352.88,USD,508.76,100,1,false,0,-0.6929398215923864,589538,0.9526234884843403,91271540459.70331,USD,43.2387411505741,11.7663,16.17021276595743,0.716363139505378,1.653846,Commercial services,america,Commercial Services
339,NASDAQ,AXON,"Axon Enterprise, Inc.",axon-enterprise,stock,['common'],299614317.8,USD,760.79,100,1,false,0,0.6162961395527182,393820,0.843474828438265,59725393527.19515,USD,188.06763404444663,4.0453,6.871499524463701,0.0,1.275,Electronic technology,america,Electronic Technology
340,NYSE,PWR,"Quanta Services, Inc.",quanta-services,stock,['common'],298862274.96,USD,385.68,100,1,false,0,0.8234648262881432,774897,0.8702314662945998,56822152534.37127,USD,59.81667881570172,6.4477,21.684564138373563,0.101952788016626,1.529412,Industrial services,america,Industrial Services
341,NYSE,KLAR,Klarna Group plc,,stock,['common'],297831419.52,USD,45.48,100,1,false,0,5.964585274930092,6548624,,17157559219.199999,USD,,,,0.0,2.0,Miscellaneous,america,Miscellaneous
342,NYSE,PNC,"PNC Financial Services Group, Inc. (The)",pnc-financial,stock,['common'],296466024.74,USD,202.46,100,1,false,0,0.2376472918110794,1464319,0.9631555521089465,79730239060.06288,USD,13.833014484831923,14.636,22.652498554416773,3.21814040994158,1.462963,Finance,america,Finance
343,AMEX,UEC,Uranium Energy Corp.,uranium-energy,stock,['common'],294746325.27,USD,13.17,100,1,false,0,10.95197978096041,22380131,1.7285834342446578,5852078270.550127,USD,,-0.1802,-441.1411411411411,0.0,1.0625,Non-energy minerals,america,Non-Energy Minerals
344,NASDAQ,IDXX,"IDEXX Laboratories, Inc.",idexx-laboratories,stock,['common'],293300093.58,USD,643.99,100,1,false,0,0.4445206975075682,455442,1.2287769535724866,51522222828.63258,USD,53.60240382214379,12.0142,19.09279249809181,0.0,1.5,Health technology,america,Health Technology
345,NYSE,EL,"Estee Lauder Companies, Inc. (The)",estee-lauder,stock,['common'],292057500.6,USD,87.4,100,1,false,0,4.482964734010759,3341619,1.109715745882251,31454339059.98326,USD,,-3.1465,-391.3965549175773,2.04423191870891,1.8,Consumer non-durables,america,Consumer Non-Durables
346,NASDAQ,DXCM,"DexCom, Inc.",dexcom,stock,['common'],291858972.2,USD,75.58,100,1,false,0,-0.8396746260823938,3861590,0.9045256169434184,29639093734.5122,USD,52.91234948193784,1.4284,-11.979295045600205,0.0,1.25,Health technology,america,Health Technology
347,NYSE,FDS,FactSet Research Systems Inc.,factset-research-systems,stock,['common'],290379288.96,USD,344.43,100,1,false,0,-4.811518903382702,843072,2.0920793641813002,13021787084.901836,USD,24.861232414952973,13.8541,4.469362209118198,1.18284324563343,2.113636,Technology services,america,Technology Services
348,NYSE,APD,"Air Products and Chemicals, Inc.",air-products-and-chemicals,stock,['common'],290260302.64,USD,289.52,100,1,false,0,-1.1269722013523706,1002557,1.4804610920028045,64433729913.310295,USD,41.618630058218926,6.9565,-39.54549404710176,2.43152790109965,1.461538,Process industries,america,Process Industries
349,NASDAQ,PAYX,"Paychex, Inc.",paychex,stock,['common'],289688534.73,USD,131.97,100,1,false,0,-2.324032270002231,2195109,1.2494192907817243,47541383206.74612,USD,28.821962086136104,4.5788,-1.921388026132584,3.04936718229591,2.088235,Technology services,america,Technology Services
350,NASDAQ,RR,Richtech Robotics Inc.,richtech-robotics,stock,['common'],288760550.56,USD,3.89,100,1,false,0,18.41704718417047,74231504,2.3555282983082395,583087579.4764079,USD,,-0.1531,-243.27354260089692,0.0,1.666667,Consumer durables,america,Consumer Durables
351,NYSE,HUBB,Hubbell Inc,hubbell,stock,['common'],288383278.84000003,USD,438.11,100,1,false,0,0.15545344397960972,658244,1.3739865908540607,23281168085.167706,USD,28.445007141929622,15.402,13.853591466524726,1.20705027090049,1.633333,Producer manufacturing,america,Producer Manufacturing
352,NYSE,AEO,"American Eagle Outfitters, Inc.",american-eagle-outfitters,stock,['common'],286984239.88,USD,19.63,100,1,false,0,7.033805888767716,14619676,0.573124147008112,3324121391.0959654,USD,18.896804004620716,1.0388,-16.676024705221785,2.72628135223555,2.136364,Retail trade,america,Retail Trade
353,NASDAQ,ROST,"Ross Stores, Inc.",ross-stores,stock,['common'],286197091.85,USD,147.05,100,1,false,0,-0.5747126436781571,1946257,0.8142517069415623,47824523653.74139,USD,23.351277531640548,6.2973,1.5284159613059285,1.0446247464503,1.421053,Retail trade,america,Retail Trade
354,NASDAQ,MRNA,"Moderna, Inc.",moderna,stock,['common'],286191842.03999996,USD,23.88,100,1,false,0,1.5737983836665141,11984583,0.9349463681359004,9291224340.107187,USD,,-7.5183,51.13163642036296,0.0,1.944444,Health technology,america,Health Technology
355,NYSE,EW,Edwards Lifesciences Corporation,edwards,stock,['common'],284006899.8,USD,76.05,100,1,false,0,-1.9595204331571434,3734476,1.0665408685836817,44648952967.62085,USD,51.91835062807208,1.4648,-39.71272173519364,0.0,1.527778,Health technology,america,Health Technology
356,NASDAQ,INSM,Insmed Incorporated,insmed,stock,['common'],283209360.71999997,USD,143.14,100,1,false,0,-1.9118755567738097,1978548,0.8915901364268801,30256185403.603916,USD,,-5.7032,-5.646117368109073,0.0,1.075,Health technology,america,Health Technology
357,NASDAQ,CPRT,"Copart, Inc.",copart,stock,['common'],283090337.6,USD,47.6,100,1,false,0,-1.6528925619834651,5947276,0.7467064797893673,46026162534.83472,USD,29.974811083123424,1.588,13.574595909025888,0.0,1.464286,Retail trade,america,Retail Trade
358,NASDAQ,ROKU,"Roku, Inc.",roku,stock,['common'],281504725.44,USD,93.92,100,1,false,0,-0.6347862886161599,2997282,0.8375424942267539,13837292809.74355,USD,,-0.424,87.75592711311329,0.0,1.484375,Technology services,america,Technology Services
359,NYSE,GM,General Motors Company,general-motors,stock,['common'],281399593.5,USD,58.95,100,1,false,0,0.7692307692307742,4773530,0.7154286651213145,56124987478.92307,USD,9.344979550426428,6.3082,-29.071937754390703,0.871794871794872,1.583333,Consumer durables,america,Consumer Durables
360,NYSE,WM,"Waste Management, Inc.",waste-management,stock,['common'],280897028.71,USD,216.13,100,1,false,0,-0.930509717638431,1299667,0.7883380269661275,87063719013.0708,USD,32.069620440988814,6.7394,7.071477368412691,1.44389438943894,1.520833,Industrial services,america,Industrial Services
361,NYSE,PINS,"Pinterest, Inc.",pinterest,stock,['common'],280078875.58,USD,36.26,100,1,false,0,3.5112760491007617,7724183,0.787591919914363,24654248109.598625,USD,12.962036176449558,2.7974,916.497093023256,0.0,1.25,Technology services,america,Technology Services
362,NYSE,LUV,Southwest Airlines Company,southwest,stock,['common'],280073452.89,USD,31.43,100,1,false,0,-0.7264687302590033,8911023,1.1221363496790984,16506648800.467781,USD,47.26315789473684,0.665,464.0373197625106,2.27416298168035,2.0,Transportation,america,Transportation
363,NASDAQ,UTHR,United Therapeutics Corporation,united-therapeutics,stock,['common'],279962716.77,USD,403.11,100,1,false,0,-0.4715816502888668,694507,0.6314490459396599,18231157633.565994,USD,15.73990558633696,25.6107,17.65567933846332,0.0,1.3125,Health technology,america,Health Technology
364,NASDAQ,CTSH,Cognizant Technology Solutions Corporation,cognizant,stock,['common'],279068154.78000003,USD,68.59,100,1,false,0,-0.8385138065635366,4068642,1.0677880976632594,33499076299.16235,USD,13.928034764244813,4.9246,12.272302396096928,1.77822755529854,1.714286,Technology services,america,Technology Services
365,NASDAQ,MNST,Monster Beverage Corporation,monster-beverage,stock,['common'],278954289.9,USD,64.35,100,1,false,0,-0.5255835523264855,4334954,1.0050515796321116,62833154571.52033,USD,40.1835893593106,1.6014,-0.30504887007409115,0.0,1.58,Consumer non-durables,america,Consumer Non-Durables
