,exchange,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
115,NASDAQ,TSAT,Telesat Corporation,telesat,stock,['common'],22.874999999999996,27.14,100,1,false,0,USD,21.48612354521039,412832,401540733.80597013,USD,,-5.580510649999999,-487.34147097537993,0.0,5.734160055114786,1.5,Communications,Communications,america
116,NASDAQ,CAMP,CAMP4 Therapeutics Corporation,camp4-therapeutics,stock,['common'],22.641509433962266,2.65,100,1,false,0,USD,-18.461538461538467,549561,53426839.984615386,USD,,-2.5693,,0.0,0.12720443441684282,1.0,Health technology,Health Technology,america
117,NASDAQ,ZJYL,JIN MEDICAL INTERNATIONAL LTD.,jin-medical-international-ltd,stock,['common'],22.581818181818175,0.6265,10000,1,false,0,USD,-0.9799272957167843,316447,98076755.0110637,USD,54.956140350877185,0.0114,-38.70967741935483,0.0,1.1636502301581872,,Health technology,Health Technology,america
118,NASDAQ,ELAB,PMGC Holdings Inc.,,stock,['common'],22.54620123203285,5.77,100,1,false,0,USD,20.711297071129692,212049,2447841.623430962,USD,,,,0.0,2.174585931599882,,Health technology,Health Technology,america
119,NASDAQ,SWIN,Solowin Holdings,solowin,stock,['common'],22.529644268774717,2.7,100,1,false,0,USD,3.8461538461538494,2066245,154132352.65384614,USD,,-0.0468,-121.80094786729858,0.0,0.7947251125243097,,Finance,Finance,america
120,NASDAQ,HXHX,Haoxin Holdings Limited,haoxin-limited,stock,['common'],22.45632991175941,1.19,100,1,false,0,USD,-12.50000000000001,138282,10650500.0,USD,32.33695652173913,0.0368,,0.0,0.4214605279640258,,Transportation,Transportation,america
121,NASDAQ,MASK,3 E Network Technology Group Ltd,3-e-network-technology-ltd,stock,['common'],22.456140350877195,0.6201,10000,1,false,0,USD,-11.16045845272206,532018,6945120.0,USD,3.609429569266589,0.1718,12.140992167101832,0.0,0.39193573826886513,,Technology services,Technology Services,america
122,NASDAQ,HMR,Heidmar Maritime Holdings Corp.,heidmar-maritime,stock,['common'],22.32142857142857,1.35,100,1,false,0,USD,21.62162162162162,577167,,USD,,,,,3.9305682488358125,1.0,Industrial services,Industrial Services,america
123,AMEX,RYDE,Ryde Group Ltd.,ryde-ltd,stock,['common'],22.15909090909091,0.3976,10000,1,false,0,USD,2.2370789406016933,2152917,14934597.218822315,USD,,-0.7528,-50.95247643874073,0.0,7.982180476161168,1.0,Technology services,Technology Services,america
124,NASDAQ,IPW,iPower Inc.,ipower,stock,['common'],22.13461538461538,0.585,10000,1,false,0,USD,14.728378113355548,245476,18345539.193959597,USD,,-0.0465,73.121387283237,0.0,3.311278467301469,,Retail trade,Retail Trade,america
125,NASDAQ,NUKK,Nukkleus Inc.,nukkleus,stock,['common'],22.11764705882354,5.15,100,1,false,0,USD,13.938053097345152,7111781,36424513.241150446,USD,0.2586561931835304,19.9106,,0.0,0.4820807402732267,,Commercial services,Commercial Services,america
