,ticker,name,description,logoid,update_mode,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
60,NASDAQ:TMUS,TMUS,"T-Mobile US, Inc.",t-mobile,delayed_streaming_900,stock,['common'],1325121242.42,USD,228.74,100,1,false,0,1.2034333244845583,5793133,1.653357015399784,259721709846.321,USD,22.29543350065793,10.2595,39.59453024015238,1.45562339615963,Communications,america,Communications,1.515625
61,NASDAQ:APP,APP,Applovin Corporation,applovin,delayed_streaming_900,stock,['common'],1318264033.5,USD,355.5,100,1,false,0,0.719628286491393,3708197,0.8748123252149181,120296520208.51514,USD,64.19284940411701,5.538,228.1000059245216,0.0,Technology services,america,Technology Services,1.290323
62,NYSE:PG,PG,Procter & Gamble Company (The),procter-and-gamble,delayed_streaming_900,stock,['common'],1303476208.81,USD,153.73,100,1,false,0,0.6877128635053595,8478997,0.8442322537817019,360426423168.70154,USD,24.415539038180544,6.2964,2.9479570314416033,2.66983232905423,Consumer non-durables,america,Consumer Non-Durables,1.42
63,NYSE:ABT,ABT,Abbott Laboratories,abbott,delayed_streaming_900,stock,['common'],1303298286.92,USD,131.74,100,1,false,0,0.19012852688417367,9892958,1.9558584228482199,229206076389.13348,USD,17.08933829729274,7.7089,140.12272614004488,1.73397216518366,Health technology,america,Health Technology,1.45
64,NASDAQ:ADBE,ADBE,Adobe Inc.,adobe,delayed_streaming_900,stock,['common'],1299793665.21,USD,361.77,100,1,false,0,-0.6617606678016434,3592873,0.9143458012637199,153462835330.139,USD,23.134328358208954,15.6378,40.438257745846435,0.0,Technology services,america,Technology Services,1.440476
65,NYSE:JOBY,JOBY,"Joby Aviation, Inc.",joby-aviation,delayed_streaming_900,stock,['common'],1292546477.1599998,USD,16.33,100,1,false,0,17.06093189964157,79151652,2.728147000783973,12930061729.812902,USD,,-0.8294,-10.4835486878913,0.0,Electronic technology,america,Electronic Technology,1.888889
66,NASDAQ:SOFI,SOFI,"SoFi Technologies, Inc.",sofi,delayed_streaming_900,stock,['common'],1285142408.01,USD,21.39,100,1,false,0,2.0515267175572505,60081459,0.7817209299250746,23643716941.67748,USD,50.83174904942966,0.4208,,0.0,Finance,america,Finance,1.913043
67,NASDAQ:RKLB,RKLB,Rocket Lab Corporation,rocket-lab,delayed_streaming_900,stock,['common'],1276702122.6399999,USD,47.69,100,1,false,0,6.928251121076225,26770856,1.226166363305159,22859662517.457394,USD,,-0.4128,-10.522088353413656,0.0,Electronic technology,america,Electronic Technology,1.3125
68,NYSE:CVNA,CVNA,Carvana Co.,carvana,delayed_streaming_900,stock,['common'],1258263808.2,USD,352.02,100,1,false,0,1.036135587382669,3574410,1.5142101044519916,75382587442.81363,USD,123.24335679025312,2.8563,15.048133080919973,0.0,Retail trade,america,Retail Trade,1.521739
69,NYSE:XOM,XOM,Exxon Mobil Corporation,exxon,delayed_streaming_900,stock,['common'],1252357959.96,USD,112.23,100,1,false,0,-0.6022495793109491,11158852,0.8364868170170526,483670818632.04224,USD,14.847987722594132,7.5586,-7.258717577482757,3.47179169249845,Energy minerals,america,Energy Minerals,1.467742
70,NYSE:VST,VST,Vistra Corp.,vistra-energy,delayed_streaming_900,stock,['common'],1216238492.25,USD,184.13,100,1,false,0,-3.783247112922615,6605325,1.4619243980808634,62481194081.33348,USD,28.881325093327476,6.3754,313.3964466346777,0.464806395986832,Utilities,america,Utilities,1.275
71,NYSE:F,F,Ford Motor Company,ford,delayed_streaming_900,stock,['common'],1213650521.0,USD,11.24,100,1,false,0,-2.852203975799482,107976025,1.3590250111946853,44698070598.098526,USD,9.006410256410257,1.248,28.659793814432994,6.48228176318064,Consumer durables,america,Consumer Durables,2.019231
72,NYSE:CVX,CVX,Chevron Corporation,chevron,delayed_streaming_900,stock,['common'],1187880175.84,USD,149.92,100,1,false,0,-0.510982812396317,7923427,0.882993122742446,261819380863.1208,USD,17.188324046685466,8.7222,-19.72425979954533,4.43294180104851,Energy minerals,america,Energy Minerals,1.5
73,NYSE:ABBV,ABBV,AbbVie Inc.,abbvie,delayed_streaming_900,stock,['common'],1182115330.5,USD,190.58,100,1,false,0,2.247974676753059,6202725,1.035587212497025,336641073890.45264,USD,81.26385809312639,2.3452,-30.173286488417787,3.42293041472182,Health technology,america,Health Technology,1.433333
74,NYSE:TMO,TMO,Thermo Fisher Scientific Inc,thermo-fisher-scientific,delayed_streaming_900,stock,['common'],1149981855.51,USD,416.31,100,1,false,0,-0.4019234909926091,2762321,1.1120462074371706,157154480373.72314,USD,24.430047708747775,17.0409,9.326242044754679,0.392353884064212,Health technology,america,Health Technology,1.241935
75,NYSE:HIMS,HIMS,"Hims & Hers Health, Inc.",hims-and-hers-health,delayed_streaming_900,stock,['common'],1147599575.8,USD,51.85,100,1,false,0,2.754657154181531,22133068,0.8132682882377398,11605664422.769522,USD,75.4730713245997,0.687,,0.0,Health services,america,Health Services,1.866667
76,NASDAQ:KLAC,KLAC,KLA Corporation,kla-tencor,delayed_streaming_900,stock,['common'],1145364225.3,USD,933.49,100,1,false,0,-0.3246025220761709,1226970,1.6000821056499928,123446065518.37411,USD,33.92596899929131,27.5155,44.179478311901995,0.720745731583612,Electronic technology,america,Electronic Technology,1.548387
77,NYSE:GEV,GEV,GE Vernova Inc.,ge-verona,delayed_streaming_900,stock,['common'],1097101940.4199998,USD,561.17,100,1,false,0,0.2787655688783162,1955026,0.6680272372438649,153162791566.18634,USD,80.08476995090763,7.0072,,0.0893479387430532,Producer manufacturing,america,Producer Manufacturing,1.347222
78,NASDAQ:QCOM,QCOM,QUALCOMM Incorporated,qualcomm,delayed_streaming_900,stock,['common'],1094926957.95,USD,154.07,100,1,false,0,-0.14906027219703058,7106685,1.079563924341864,169168863346.00497,USD,15.689409368635436,9.82,31.966188703586738,2.22942320155541,Electronic technology,america,Electronic Technology,1.565789
79,NYSE:PFE,PFE,"Pfizer, Inc.",pfizer,delayed_streaming_900,stock,['common'],1088209951.22,USD,24.61,100,1,false,0,0.0,44218202,1.0988142588919962,139916853905.0,USD,17.8359182490216,1.3798,,6.90776107273466,Health technology,america,Health Technology,1.72
80,NYSE:WMT,WMT,Walmart Inc.,walmart,delayed_streaming_900,stock,['common'],1063924672.8000001,USD,95.15,100,1,false,0,-0.2515987000733776,11181552,0.8158611454056407,759336764867.7555,USD,40.819390819390826,2.331,-0.4186602870813505,0.9277702065206,Retail trade,america,Retail Trade,1.178571
81,NYSE:IONQ,IONQ,"IonQ, Inc.",ionq,delayed_streaming_900,stock,['common'],1054675472.06,USD,43.54,100,1,false,0,4.991560163973958,24223139,1.1072655405870144,11391499635.695204,USD,,-1.4902,-79.17518335938439,0.0,Electronic technology,america,Electronic Technology,1.357143
82,NASDAQ:CSCO,CSCO,"Cisco Systems, Inc.",cisco,delayed_streaming_900,stock,['common'],1021068612.84,USD,67.37,100,1,false,0,0.28282226853229786,15156132,0.816587570177779,266785086077.7111,USD,27.61065573770492,2.44,-17.800835466918205,2.39654659124739,Electronic technology,america,Electronic Technology,1.464286
