,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
50,NASDAQ:TIL,TIL,"Instil Bio, Inc.",instil-bio,streaming,stock,['common'],,24.0,100,1,false,0,USD,-11.144020733061835,381366,,-11.9711,36.86461684510311,0.0,Health technology,Health Technology,america,1.375,2.2597471393636948
51,NASDAQ:MAXN,MAXN,"Maxeon Solar Technologies, Ltd.",maxeon-solar-technologies,streaming,stock,['common'],,3.87,100,1,false,0,USD,-10.829493087557598,194638,,-210.8679,60.343795840072225,0.0,Utilities,Utilities,america,2.0,0.8776736539177827
52,AMEX:DDC,DDC,DDC Enterprise Limited,ddc-enterprise-limited,streaming,stock,['common'],,12.55,100,1,false,0,USD,-10.803127221037666,55646,,,,0.0,Technology services,Technology Services,america,1.0,0.5769922699252913
53,NASDAQ:ALZN,ALZN,"Alzamend Neuro, Inc.",alzamend-neuro,streaming,stock,['common'],,2.25,100,1,false,0,USD,-10.714285714285715,305840,,-18.661,86.00470834580167,0.0,Health technology,Health Technology,america,,1.3793252743406874
54,NASDAQ:ICON,ICON,Icon Energy Corp.,icon-energy,streaming,stock,['common'],,2.42,100,1,false,0,USD,-10.701107011070112,131238,,,,,Transportation,Transportation,america,1.0,1.3242345476707493
55,NASDAQ:USLM,USLM,"United States Lime & Minerals, Inc.",united-states-lime-and-minerals,streaming,stock,['common'],,99.58,100,1,false,0,USD,-10.690582959641256,315618,22.831071166544387,4.3616,44.75457170356111,0.197309417040359,Non-energy minerals,Non-Energy Minerals,america,2.0,2.9498442914982785
56,NYSE:ARW,ARW,"Arrow Electronics, Inc.",arrow-electronics,streaming,stock,['common'],,116.0,100,1,false,0,USD,-10.617968870396055,1303146,15.967844065743469,7.2646,-42.86321021833512,0.0,Distribution services,Distribution Services,america,2.1875,3.1590330708615606
57,NASDAQ:ZYXI,ZYXI,"Zynex, Inc.",zynex,streaming,stock,['common'],,2.23,100,1,false,0,USD,-10.4417670682731,229936,,-0.2362,-204.46704997788586,0.0,Health technology,Health Technology,america,1.666667,1.855482257055824
58,NYSE:SKLZ,SKLZ,Skillz Inc.,skillz,streaming,stock,['common'],,6.93,100,1,false,0,USD,-10.233160621761659,108615,,-2.1813,57.30392060913309,0.0,Technology services,Technology Services,america,1.5,0.5251355808546344
59,NYSE:CI,CI,The Cigna Group,cigna,streaming,stock,['common'],,267.38,100,1,false,0,USD,-10.232995366950922,5451810,14.813952972984954,18.0492,48.153133926519345,1.95393809172094,Finance,Finance,america,1.333333,3.1625533670475034
60,NASDAQ:AWRE,AWRE,"Aware, Inc.",aware,streaming,stock,['common'],,2.12,100,1,false,0,USD,-10.16949152542372,99822,,-0.2694,-9.601301871440189,0.0,Technology services,Technology Services,america,,1.7911910051068196
61,NASDAQ:NA,NA,Nano Labs Ltd,nano-labs-ltd,streaming,stock,['common'],,5.92,100,1,false,0,USD,-10.166919575113809,436800,,-2.0089,,0.0,Electronic technology,Electronic Technology,america,,0.826279001579539
62,NASDAQ:DUOT,DUOT,"Duos Technologies Group, Inc.",duos-technologies,streaming,stock,['common'],,6.77,100,1,false,0,USD,-10.092961487383807,1880592,,-1.2038,26.30096730745684,0.0,Technology services,Technology Services,america,1.0,16.722289307683962
63,NASDAQ:ITRI,ITRI,"Itron, Inc.",itron,streaming,stock,['common'],,124.54,100,1,false,0,USD,-10.027452680248507,3113385,22.709700948212983,5.484,57.28339117216853,0.0,Electronic technology,Electronic Technology,america,1.178571,5.852423257770655
64,NASDAQ:BIVI,BIVI,BioVie Inc.,,streaming,stock,['common'],,6.005,100,1,false,0,USD,-9.97001499250375,79299,,-21.0395,78.12032029950082,0.0,Health technology,Health Technology,america,1.0,1.426382106143593
65,NASDAQ:KOD,KOD,Kodiak Sciences Inc,kodiak-sciences,streaming,stock,['common'],,6.575,100,1,false,0,USD,-9.931506849315063,592030,,-3.6208,18.4118614660087,0.0,Health technology,Health Technology,america,2.166667,0.7527371160694873
66,NASDAQ:NFE,NFE,New Fortress Energy Inc.,new-fortress-energy-llc,streaming,stock,['common'],,2.725,100,1,false,0,USD,-9.768211920529799,10056534,,-2.2557,-202.849717308043,13.2450331125828,Utilities,Utilities,america,1.666667,0.8961752751615942
67,NYSE:QTWO,QTWO,"Q2 Holdings, Inc.",q2-hldgs,streaming,stock,['common'],,81.2,100,1,false,0,USD,-9.767751972441374,2307797,1324.6329526916802,0.0613,,0.0,Technology services,Technology Services,america,1.411765,4.88923365114029
68,NASDAQ:PAMT,PAMT,PAMT CORP,p-a-resources-berhad,streaming,stock,['common'],,11.33,100,1,false,0,USD,-9.649122807017537,18617,,-2.1692,-4109.611829944547,0.0,Transportation,Transportation,america,2.0,1.5765494931702897
69,NYSE:WHD,WHD,"Cactus, Inc. Class A Common Stock",cactus-inc,streaming,stock,['common'],,42.31,100,1,false,0,USD,-9.594017094017083,1612339,15.934769508888222,2.6552,-7.9749072886701615,1.11111111111111,Industrial services,Industrial Services,america,1.722222,2.86341369333249
70,NASDAQ:NAKA,NAKA,"Kindly MD, Inc.",kindly-md,streaming,stock,['common'],,7.22,100,1,false,0,USD,-9.52380952380953,354789,,-0.7302,-153.45366192294338,0.0,Health services,Health Services,america,,1.4602046901681305
71,NASDAQ:CYCC,CYCC,"Cyclacel Pharmaceuticals, Inc.",cyclacel-pharmaceuticals,streaming,stock,['common'],,11.21,100,1,false,0,USD,-9.52380952380952,114274,,-733.968,86.27797620115943,0.0,Health technology,Health Technology,america,,0.0335737048501332
72,NYSE:EIG,EIG,Employers Holdings Inc,employers,streaming,stock,['common'],,41.28,100,1,false,0,USD,-9.513371328364745,525643,10.04746257758306,4.1085,-11.861243403269407,2.67426567295046,Finance,Finance,america,1.75,3.2114220988372373
73,NASDAQ:NUWE,NUWE,"Nuwellis, Inc.",,streaming,stock,['common'],,9.6,100,1,false,0,USD,-9.348441926345611,171622,,-765.925,93.72153305338138,0.0,Health technology,Health Technology,america,,0.7485594476723265
74,NASDAQ:HSDT,HSDT,"Helius Medical Technologies, Inc.",helius-medical-technologies,streaming,stock,['common'],,6.91,100,1,false,0,USD,-9.31758530183727,119324,,-2390.3175,57.39397218331398,0.0,Health technology,Health Technology,america,2.0,0.06166704539740345
75,NASDAQ:GH,GH,"Guardant Health, Inc.",guardant-health,streaming,stock,['common'],,40.98,100,1,false,0,USD,-9.316220402743973,9117968,,-3.3458,18.24557116676848,0.0,Health services,Health Services,america,1.259259,4.293121503439664
76,NASDAQ:DXCM,DXCM,"DexCom, Inc.",dexcom,streaming,stock,['common'],,80.77,100,1,false,0,USD,-9.30833146193578,9281800,56.54578549425931,1.4284,-11.979295045600205,0.0,Health technology,Health Technology,america,1.2,3.2670844532425862
77,NASDAQ:TRNR,TRNR,Interactive Strength Inc.,,streaming,stock,['common'],,4.33,100,1,false,0,USD,-9.224318658280913,99261,,-19100.7219,84.92335520811298,0.0,Retail trade,Retail Trade,america,1.0,0.623740482335176
78,NASDAQ:INDP,INDP,"Indaptus Therapeutics, Inc.",,streaming,stock,['common'],,8.16,100,1,false,0,USD,-9.131403118040092,6441,,-41.6265,16.50419419672407,0.0,Health technology,Health Technology,america,1.0,0.6465763875643677
79,NYSE:XPO,XPO,"XPO, Inc.",xpo-logistics,streaming,stock,['common'],,120.29,100,1,false,0,USD,-9.07098042180058,3810887,37.012307692307694,3.25,60.31965272296763,0.0,Transportation,Transportation,america,1.339286,3.5622231623720966
80,NASDAQ:POLA,POLA,"Polar Power, Inc.",polar-power,streaming,stock,['common'],,2.01,100,1,false,0,USD,-9.049773755656117,20539,,-1.5143,59.59604044931829,0.0,Electronic technology,Electronic Technology,america,,0.7755189886800432
81,NASDAQ:MAMK,MAMK,MaxsMaking Inc.,,streaming,stock,['common'],,2.73,100,1,false,0,USD,-9.000000000000002,186751,179.60526315789474,0.0152,-6.748466257668703,0.0,Process industries,Process Industries,america,,0.3117616567768775
82,NASDAQ:FFAI,FFAI,Faraday Future Intelligent Electric Inc.,faraday-future,streaming,stock,['common'],,2.13,100,1,false,0,USD,-8.974358974358973,18771858,,-19.4594,98.75290154796222,0.0,Consumer durables,Consumer Durables,america,,0.48526046130926925
83,NASDAQ:SPRC,SPRC,SciSparc Ltd.,scisparc-ltd,streaming,stock,['common'],,5.72,100,1,false,0,USD,-8.917197452229306,36699,,-1.9625,85.28992894192426,0.0,Health technology,Health Technology,america,,0.6159555291487497
84,AMEX:HUSA,HUSA,Houston American Energy Corporation,houston-american-energy,streaming,stock,['common'],,9.51,100,1,false,0,USD,-8.820709491850431,335273,,-7.9502,-160.20161026379526,0.0,Energy minerals,Energy Minerals,america,,2.0064909494165732
85,NASDAQ:VNDA,VNDA,Vanda Pharmaceuticals Inc.,vanda-pharmaceuticals,streaming,stock,['common'],,4.26,100,1,false,0,USD,-8.779443254817991,1427666,,-0.7572,-793.9787485242031,0.0,Health technology,Health Technology,america,1.333333,3.2593253809714056
86,NYSE:PACK,PACK,Ranpak Holdings Corp,ranpak,streaming,stock,['common'],,3.65,100,1,false,0,USD,-8.750000000000002,684458,,-0.2574,6.772908366533863,0.0,Process industries,Process Industries,america,1.333333,2.4047940024376167
87,NYSE:STEM,STEM,"Stem, Inc.",stem,streaming,stock,['common'],,13.02,100,1,false,0,USD,-8.567415730337084,468728,,-99.385,-574.8397522950731,0.0,Producer manufacturing,Producer Manufacturing,america,2.0,0.308907871276085
88,NASDAQ:RGC,RGC,Regencell Bioscience Holdings Limited,regencell-bioscience,streaming,stock,['common'],,13.2,100,1,false,0,USD,-8.523908523908528,316668,,-0.3142,13.204419889502766,0.0,Health technology,Health Technology,america,,0.42459049759740936
89,NYSE:KORE,KORE,"KORE Group Holdings, Inc.",kore,streaming,stock,['common'],,2.1101,100,1,false,0,USD,-8.471414938839247,22217,,-7.6286,22.36469845922127,0.0,Technology services,Technology Services,america,1.5,0.9007317913685099
90,NYSE:GKOS,GKOS,Glaukos Corporation,glaukos-corporation,streaming,stock,['common'],,86.09,100,1,false,0,USD,-8.4635832004253,4830067,,-1.6571,48.1880999280868,0.0,Health technology,Health Technology,america,1.3125,4.480992321003075
