,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
14,NYSE:SG,SG,"Sweetgreen, Inc.",sweetgreen,streaming,stock,['common'],,9.74,100,1,false,0,USD,-23.064770932069507,34801046,,-0.8415,-1.950569420886843,0.0,Consumer services,Consumer Services,america,1.5,6.3506115810980015
15,NASDAQ:MGRT,MGRT,Mega Fortune Company Limited,,streaming,stock,['common'],,2.85,100,1,false,0,USD,-22.76422764227642,296637,,,,,Technology services,Technology Services,america,,0.511334136380592
16,NASDAQ:RCEL,RCEL,"Avita Medical, Inc.",avita-medical,streaming,stock,['common'],,4.25,100,1,false,0,USD,-21.003717472118957,1727350,,-1.971,-1.3055098684210573,0.0,Health technology,Health Technology,america,1.5625,6.795242641716224
17,NASDAQ:FIP,FIP,FTAI Infrastructure Inc.,fortress-transn-and-infras-invs-llc,streaming,stock,['common'],,4.98,100,1,false,0,USD,-20.192307692307686,7225750,,-1.4617,29.45803773949133,2.40963855421687,Consumer services,Consumer Services,america,1.0,2.975990798079534
18,NASDAQ:IOVA,IOVA,"Iovance Biotherapeutics, Inc.",iovance-biotherapeutics,streaming,stock,['common'],,2.11,100,1,false,0,USD,-20.07575757575758,43435399,,-1.2267,27.103636795816506,0.0,Health technology,Health Technology,america,1.541667,2.5125150560076603
19,NYSE:PAR,PAR,PAR Technology Corporation,par-technology-corporation,streaming,stock,['common'],,46.73,100,1,false,0,USD,-19.472686541444087,5339672,,-2.369,-820.715118538671,0.0,Electronic technology,Electronic Technology,america,1.222222,11.716952817057946
20,NYSE:TWLO,TWLO,Twilio Inc.,twilio,streaming,stock,['common'],,98.67,100,1,false,0,USD,-19.380668355257782,17652190,810.0985221674877,0.1218,,0.0,Technology services,Technology Services,america,1.435484,6.732910798016414
21,NASDAQ:GT,GT,The Goodyear Tire & Rubber Company,goodyear-tire-and-rubber,streaming,stock,['common'],,8.36,100,1,false,0,USD,-18.518518518518523,28626336,5.89064261555806,1.4192,,0.0,Consumer durables,Consumer Durables,america,1.5,4.136732714885612
22,NASDAQ:JFB,JFB,JFB Construction Holdings,jfb-construction,streaming,stock,['common'],,8.49,100,1,false,0,USD,-18.365384615384617,36093,2176.923076923077,0.0039,-98.94423389279913,0.0,Industrial services,Industrial Services,america,,0.5540724548020994
23,NASDAQ:AVPT,AVPT,"AvePoint, Inc.",avepoint,streaming,stock,['common'],,14.33,100,1,false,0,USD,-18.114285714285714,5128835,,-0.0508,37.4384236453202,0.0,Technology services,Technology Services,america,1.222222,3.790509836648824
