,ticker,name,description,logoid,update_mode,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
45,NASDAQ:BLNE,BLNE,"Beeline Holdings, Inc.",beeline,streaming,stock,['common'],33.82779748468236,0.6949,10000,1,false,0,USD,-7.960264900662257,4313713,6296778.825165563,USD,,-35.8925,80.45072935650396,0.0,Commercial services,Commercial Services,america,,2.91645806474251
46,NASDAQ:BBLG,BBLG,Bone Biologics Corp,bone-biologics,streaming,stock,['common'],33.28637413394919,5.56,100,1,false,0,USD,22.88379083233875,181066,14800157.0,USD,,-23.2454,82.87959580485506,0.0,Health technology,Health Technology,america,,8.030210971212295
47,NASDAQ:ZYBT,ZYBT,Zhengye Biotechnology Holding Limited,zhengye-biotechnology-limited,streaming,stock,['common'],32.89473684210526,6.25,100,1,false,0,USD,21.124031007751935,611691,296196099.99999994,USD,,,,0.0,Health technology,Health Technology,america,,1.057002602714966
48,NASDAQ:NAKA,NAKA,"Kindly MD, Inc.",kindly-md,streaming,stock,['common'],32.75193798449611,11.6,100,1,false,0,USD,-13.108614232209739,674147,69856916.80000001,USD,,-0.7302,-153.45366192294338,0.0,Health services,Health Services,america,,0.5982945578338152
49,NYSE:SKIL,SKIL,Skillsoft Corp.,skillsoft,streaming,stock,['common'],32.722673329169254,17.59,100,1,false,0,USD,-3.457738748627876,178995,149209636.8276619,USD,,-16.0245,61.144814944134076,0.0,Technology services,Technology Services,america,2.0,6.971920681475596
50,NASDAQ:ERNA,ERNA,Ernexa Therapeutics Inc.,eterna-therapeutics,streaming,stock,['common'],32.53856942496493,0.155,10000,1,false,0,USD,-17.98941798941799,2283699,9666383.095238095,USD,,-6.207,-45.96119929453261,0.0,Health technology,Health Technology,america,,2.6822865066612045
51,NASDAQ:LQDA,LQDA,Liquidia Corporation,liquidia,streaming,stock,['common'],32.5,14.98,100,1,false,0,USD,-16.87014428412874,11667705,1280558141.6881242,USD,,-1.5648,0.261329593983045,0.0,Health technology,Health Technology,america,1.2,4.851477742264425
52,NASDAQ:OMSE,OMSE,OMS Energy Technologies Inc.,oms-energy-technologies,streaming,stock,['common'],32.46228846248544,6.73,100,1,false,0,USD,-5.874125874125872,205577,285679777.91999996,USD,,,,0.0,Industrial services,Industrial Services,america,,1.5359689305068145
53,NASDAQ:CIGL,CIGL,Concorde International Group Ltd,concorde-international-ltd,streaming,stock,['common'],31.934306569343065,6.92,100,1,false,0,USD,6.955177743431223,45566,,USD,,,,,Commercial services,Commercial Services,america,,2.495768815761367
54,NASDAQ:SORA,SORA,Top Win International Limited,top-win-international-limited,streaming,stock,['common'],31.69811320754718,6.86,100,1,false,0,USD,14.33333333333334,179274,170567040.0,USD,,,,0.0,Distribution services,Distribution Services,america,,0.7512499250945904
55,NASDAQ:ABP,ABP,"Abpro Holdings, Inc",abpro,streaming,stock,['common'],31.52498932080308,0.273,10000,1,false,0,USD,10.16949152542374,41464545,16594925.25423729,USD,,-0.4247,-406.8019093078759,0.0,Finance,Finance,america,1.0,9.89789717087949
56,NASDAQ:DGNX,DGNX,Diginex Limited,diginex-limited,streaming,stock,['common'],31.462962962962955,56.81,100,1,false,0,USD,-11.648522550544316,77028,1306275676.03,USD,,-0.2462,,0.0,Technology services,Technology Services,america,,1.2782566270938365
57,NASDAQ:ZVSA,ZVSA,"ZyVersa Therapeutics, Inc.",zyversa-therapeutics,streaming,stock,['common'],30.03901170351107,0.7,10000,1,false,0,USD,9.409190371991235,2022566,3341419.037199124,USD,,-7.7761,99.55936440038799,0.0,Health technology,Health Technology,america,,1.2374495507210501
58,NASDAQ:MB,MB,MasterBeef Group,masterbeef,streaming,stock,['common'],30.02955665024631,6.31,100,1,false,0,USD,-14.032697547683929,132888,108248050.0,USD,25.515568135867365,0.2473,,0.0,Consumer services,Consumer Services,america,,1.6868626091989916
59,NASDAQ:BDMD,BDMD,Baird Medical Investment Holdings Ltd,baird-medical-investment-ltd,streaming,stock,['common'],29.812702060010157,4.15,100,1,false,0,USD,-11.513859275053305,77122,148273800.6076759,USD,,,,0.0,Health technology,Health Technology,america,,1.5203043683961521
60,NASDAQ:MGNX,MGNX,"MacroGenics, Inc.",macrogenics,streaming,stock,['common'],29.775280898876403,1.78,100,1,false,0,USD,8.536585365853666,25832224,112300776.32926829,USD,,-0.8888,-136.950146627566,0.0,Health technology,Health Technology,america,1.785714,49.44536002042724
61,NASDAQ:LYEL,LYEL,"Lyell Immunopharma, Inc.",,streaming,stock,['common'],29.735128359304134,10.8,100,1,false,0,USD,-13.392141138732958,345896,159927243.56054533,USD,,-25.0054,-38.082721298801694,0.0,Health technology,Health Technology,america,2.125,0.9402821759908906
62,NASDAQ:JZXN,JZXN,"Jiuzi Holdings, Inc.",jiuzi,streaming,stock,['common'],29.663608562691135,3.27,100,1,false,0,USD,-22.877358490566042,51145,36007239.43867924,USD,,,,0.0,Retail trade,Retail Trade,america,,0.8944654893195809
63,NASDAQ:KG,KG,"Kestrel Group, Ltd.",maiden-ltd,streaming,stock,['common'],29.560439560439548,27.39,100,1,false,0,USD,-8.882235528942111,44589,136515472.13772458,USD,,-2.1238,-731.5583398590446,0.0,Finance,Finance,america,,1.552244521418252
64,NASDAQ:YYGH,YYGH,YY Group Holding Limited,yy-limited,streaming,stock,['common'],29.310344827586214,1.44,100,1,false,0,USD,15.199999999999998,276584,62276472.00000001,USD,,-0.1171,,0.0,Commercial services,Commercial Services,america,,5.176848453313019
65,NASDAQ:EHGO,EHGO,Eshallgo Inc.,eshallgo,streaming,stock,['common'],29.09362685147438,0.86,10000,1,false,0,USD,-9.473684210526313,148492,22764200.000000004,USD,,-0.1575,-761.764705882353,0.0,Distribution services,Distribution Services,america,,0.06108901708811514
66,NASDAQ:HBIO,HBIO,"Harvard Bioscience, Inc.",harvard-bioscience,streaming,stock,['common'],28.980891719745237,0.5946,10000,1,false,0,USD,6.501880709296078,5348859,26289494.019344438,USD,,-1.3186,-549.8767865943814,0.0,Health technology,Health Technology,america,1.5,0.07690057845682756
67,NASDAQ:SBET,SBET,"SharpLink Gaming, Inc.",sharplink-gaming,streaming,stock,['common'],28.763215304581305,33.98,100,1,false,0,USD,15.460414542983342,3747711,2019316585.009174,USD,,-9.083,98.90192283792561,0.0,Commercial services,Commercial Services,america,,0.33737444807049916
68,NASDAQ:RENT,RENT,"Rent the Runway, Inc.",rent-the-runway,streaming,stock,['common'],28.601605407689057,6.27,100,1,false,0,USD,-17.5,354847,25217236.275,USD,,-19.135,36.37932352950954,0.0,Retail trade,Retail Trade,america,,1.2047992736851074
69,NASDAQ:PRSO,PRSO,Peraso Inc.,peraso,streaming,stock,['common'],28.33333333333334,1.32,100,1,false,0,USD,-10.204081632653056,670589,6635868.979591836,USD,,-3.3151,84.31494081020467,0.0,Electronic technology,Electronic Technology,america,1.0,1.9032688739195662
70,NASDAQ:NA,NA,Nano Labs Ltd,nano-labs-ltd,streaming,stock,['common'],27.992087042532148,11.62,100,1,false,0,USD,2.740937223695833,389242,199219308.83819625,USD,,-2.0089,,0.0,Electronic technology,Electronic Technology,america,,0.5988878381958742
71,NASDAQ:QTRX,QTRX,Quanterix Corporation,quanterix,streaming,stock,['common'],27.978339350180516,6.58,100,1,false,0,USD,30.039525691699616,2931427,255497367.47430828,USD,,-1.2411,-38.96540141081627,0.0,Health technology,Health Technology,america,1.4,5.153211436880861
72,NASDAQ:HSDT,HSDT,"Helius Medical Technologies, Inc.",helius-medical-technologies,streaming,stock,['common'],27.557799627956406,0.845,10000,1,false,0,USD,-2.3121387283237014,3991402,446212.7514450868,USD,,-47.8064,59.34173038160928,0.0,Health technology,Health Technology,america,2.0,0.7764899640269036
73,NASDAQ:SXTC,SXTC,"China SXT Pharmaceuticals, Inc.",china-sxt-pharmaceuticals,streaming,stock,['common'],27.419354838709676,2.11,100,1,false,0,USD,8.762886597938142,491009,54918569.90206185,USD,0.09675570331308035,21.8075,,0.0,Health technology,Health Technology,america,,0.3801560035636456
74,AMEX:INUV,INUV,"Inuvo, Inc.",inuvo,streaming,stock,['common'],27.31163563192693,3.54,100,1,false,0,USD,-11.189162067235326,616341,575977009.0,USD,,-0.3484,50.07880785212782,0.0,Technology services,Technology Services,america,1.0,7.288923252968535
75,NASDAQ:BIRD,BIRD,"Allbirds, Inc.",allbirds,streaming,stock,['common'],27.073156376905423,12.29,100,1,false,0,USD,21.803766105054503,500849,99027896.69177403,USD,,-11.0802,27.348667645824598,0.0,Consumer non-durables,Consumer Non-Durables,america,1.8,7.315188338907795
