,ticker,name,description,logoid,update_mode,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
64,NYSE:LUV,LUV,Southwest Airlines Company,southwest,delayed_streaming_900,stock,['common'],8252000000.0,USD,36.47,100,1,false,0,USD,-2.512697139802186,15297247,20783005046.513496,43.30839567747299,0.8421,36.70454545454545,1.92461908580593,Transportation,Transportation,america,1.980769,1.496042529209717
65,NYSE:ANET,ANET,"Arista Networks, Inc.",arista-networks,delayed_streaming_900,stock,['common'],8149600000.0,USD,111.98,100,1,false,0,USD,3.397968605724845,8587107,140638080847.34738,47.37287418563331,2.3638,31.519501474433874,0.0,Electronic technology,Electronic Technology,america,1.25,0.9901957657325872
66,NASDAQ:EXPE,EXPE,"Expedia Group, Inc.",expedia,delayed_streaming_900,stock,['common'],8145000000.0,USD,182.08,100,1,false,0,USD,2.120022434099832,1324023,23146172889.915874,21.451460885956646,8.488,59.267459751566776,0.448681996634885,Consumer services,Consumer Services,america,1.662162,0.9266579750831319
67,NYSE:XYZ,XYZ,"Block, Inc.",block,delayed_streaming_900,stock,['common'],8125446000.0,USD,70.73,100,1,false,0,USD,2.4626973779516192,7795251,43502484072.6587,17.203804149539078,4.1113,430.9699083042748,0.0,Commercial services,Commercial Services,america,1.434783,1.0502125692479718
68,NASDAQ:AAL,AAL,"American Airlines Group, Inc.",american-airlines-group,delayed_streaming_900,stock,['common'],8113000000.0,USD,12.45,100,1,false,0,USD,1.4669926650366725,88948410,8210928803.667482,14.373123989840684,0.8662,45.165074576839274,0.0,Transportation,Transportation,america,1.537037,1.343901819096471
69,NYSE:GEV,GEV,GE Vernova Inc.,ge-verona,delayed_streaming_900,stock,['common'],8107000000.0,USD,570.17,100,1,false,0,USD,1.6037920772671386,2569438,155619203616.95184,81.3691631464779,7.0072,,0.0890995598481744,Producer manufacturing,Producer Manufacturing,america,1.347222,1.0405151846800071
70,NASDAQ:WDAY,WDAY,"Workday, Inc.",workday,delayed_streaming_900,stock,['common'],7986000000.0,USD,230.89,100,1,false,0,USD,1.8347814581219941,2232292,61647628838.06515,127.49309773605742,1.811,-67.30515787763356,0.0,Technology services,Technology Services,america,1.365854,0.9426847079337107
71,NYSE:AMP,AMP,"Ameriprise Financial, Inc.",ameriprise-financial,delayed_streaming_900,stock,['common'],7974000000.0,USD,539.82,100,1,false,0,USD,2.854203185732798,477550,51403105164.19297,18.34225834511254,29.4304,0.15927251936453501,1.15082691867998,Finance,Finance,america,1.666667,1.1678509024524746
72,NYSE:DELL,DELL,Dell Technologies Inc.,dell,delayed_streaming_900,stock,['common'],7853000000.0,USD,123.88,100,1,false,0,USD,0.2508699522537851,3763653,84095870666.50319,19.75127551020408,6.272,28.1045751633987,1.5052197135227,Electronic technology,Electronic Technology,america,1.232143,0.9053072880347705
73,NASDAQ:ZM,ZM,"Zoom Communications, Inc.",zoom-video-communications,delayed_streaming_900,stock,['common'],7810848000.0,USD,74.6,100,1,false,0,USD,0.21493820526598145,5511496,22570053924.357872,22.399711746336774,3.3304,23.852733358125697,0.0,Technology services,Technology Services,america,1.671429,1.6993996488285128
74,NASDAQ:AMD,AMD,"Advanced Micro Devices, Inc.",advanced-micro-devices,delayed_streaming_900,stock,['common'],7320000000.0,USD,160.41,100,1,false,0,USD,0.20614692653672168,50603355,260089466237.08972,117.58539803547866,1.3642,99.18236238866992,0.0,Electronic technology,Electronic Technology,america,1.330357,1.0387872638427034
75,NYSE:UBER,UBER,"Uber Technologies, Inc.",uber,delayed_streaming_900,stock,['common'],7279000000.0,USD,90.5,100,1,false,0,USD,-0.27548209366391185,16903482,189250723266.7769,15.780571587996304,5.7349,795.0991103480567,0.0,Transportation,Transportation,america,1.245614,1.0212413410607455
76,NYSE:COP,COP,ConocoPhillips,conocophillips,delayed_streaming_900,stock,['common'],7235000000.0,USD,92.81,100,1,false,0,USD,1.4206097694241036,4899410,117164278007.75052,11.780908860116782,7.878,-10.834946181793487,3.40946344661786,Energy minerals,Energy Minerals,america,1.220588,0.8065952535372425
77,NASDAQ:RIVN,RIVN,"Rivian Automotive, Inc.",rivian,delayed_streaming_900,stock,['common'],7178000000.0,USD,12.9,100,1,false,0,USD,4.116222760290555,52109673,14788881020.508476,,-3.7229,35.3943600867679,0.0,Consumer durables,Consumer Durables,america,1.83871,1.8457134076679387
78,NYSE:LYV,LYV,"Live Nation Entertainment, Inc.",live-nation,delayed_streaming_900,stock,['common'],7168246000.0,USD,150.72,100,1,false,0,USD,1.4334746618211154,2307439,34932643260.582275,51.60406751806074,2.9207,181.648987463838,0.0,Consumer services,Consumer Services,america,1.28,1.120988050170096
79,NYSE:MMM,MMM,3M Company,3m,delayed_streaming_900,stock,['common'],7024000000.0,USD,159.04,100,1,false,0,USD,0.9393247017009329,5024180,85592367970.4534,20.08993987165883,7.9164,,1.81518151815182,Producer manufacturing,Producer Manufacturing,america,1.6,1.5852384751864812
